Gene	logFC	padj.value
ALS2	-0.0458	0.173675
ALS2CL	-0.00367	0.818951
ALS2CR11	-1.33E-14	1
ALS2CR12	-0.0256	0.770055
ALX1	0.000871	0.497237
ALX3	-1.33E-14	1
ALX4	0.0108	0.140655
ALYREF	0.14	0.737586
AMACR	0.0475	0.955214
AMBN	0.0406	0.811377
AMBP	-0.000134	1
AMBRA1	0.0171	0.837548
AMD1	-0.149	0.199406
AMDHD1	-0.0649	0.336583
AMDHD2	-0.0602	0.705815
AMELX	0.00558	0.877347
AMELY	0.0134	0.777225
AMER1	-0.00943	0.58496
AMER2	0.0058	0.886483
AMER3	-1.33E-14	1
AMFR	0.0867	0.959374
AMH	0.00758	0.99222
AMHR2	0.00683	0.505428
AMIGO2	-0.486	0.102481
AMIGO3	-0.0012	1
AMMECR1	-0.0973	0.470955
AMMECR1L	-0.194	0.251821
AMN	0.000355	1
AMN1	-0.235	0.449745
AMOT	0.126	0.639782
AMOTL1	0.000936	0.429543
AMOTL2	-1.33E-14	1
AMPD1	-0.0000105	1
AMPD2	0.0649	0.824605
AMPD3	0.104	0.224043
AMPH	0.048	0.961459
AMT	-0.0144	0.970753
AMY2B	-0.393	0.07438
AMZ1	0.0291	0.487346
AMZ2	-0.0883	0.326156
AMZ2P1	-0.221	0.532986
ANAPC10	-0.718	0.037615
ANAPC11	0.00826	1
ANAPC13	-0.166	0.13014
ANAPC15	0.0751	0.752078
ANAPC16	-0.216	0.055193
ANAPC2	-0.00499	1
ANAPC4	-0.375	0.037615
ANAPC5	-0.0707	0.696044
ANAPC7	-0.075	0.675011
ANG	0.465	0.076254
ANGEL1	-0.0466	0.464582
ANGEL2	-0.29	0.123467
ANGPT1	-0.0139	0.652424
ANGPT2	-0.00101	0.849549
ANGPT4	0.00178	1
ANGPTL1	-1.33E-14	1
ANGPTL2	0.00422	0.279376
ANGPTL3	0.00234	0.912117
ANGPTL4	0.0207	0.464264
ANGPTL6	0.00476	1
ANGPTL7	-0.000414	0.840937
ANGPTL8	0.000132	0.877347
ANHX	0.00344	0.714414
ANK1	0.108	0.856822
ANK2	-1.33E-14	1
ANK3	-0.0158	0.8083
ANKAR	-1.33E-14	1
ANKDD1A	0.0171	1
ANKEF1	0.0211	0.868157
ANKFN1	-1.33E-14	1
ANKFY1	-0.0251	0.997847
ANKH	-0.121	0.696503
ANKHD1	-0.0537	0.8083
ANKIB1	-0.202	0.384662
ANKLE1	-0.0253	0.714314
ANKLE2	-0.0302	0.90954
ANKMY1	0.00664	0.38855
ANKMY2	-0.465	0.054203
ANKRA2	-0.388	0.050377
ANKRD1	0.00192	0.443861
ANKRD10	-0.207	0.137465
ANKRD11	0.0111	0.93557
ANKRD12	-0.394	0.132161
ANKRD13A	0.00358	1
ANKRD13B	0.0738	0.206601
ANKRD13C	-0.294	0.078656
ANKRD13D	0.0625	0.735774
ANKRD16	-0.000928	1
ANKRD17	0.193	0.22091
ANKRD18A	0.00436	0.904463
ANKRD19P	0.0403	0.783721
ANKRD2	0.158	0.324269
ANKRD22	0.382	0.4282
ANKRD23	0.0137	0.505507
ANKRD24	-1.33E-14	1
ANKRD26	0.00103	0.903497
ANKRD26P3	0.00325	1
ANKRD27	-0.14	0.431844
ANKRD28	-0.0441	0.965881
ANKRD29	-1.33E-14	1
ANKRD30A	-0.000208	1
ANKRD30B	0.00918	0.487346
ANKRD30BL	-0.203	0.631437
ANKRD30BP3	0.0421	0.512853
ANKRD31	-0.0216	0.680481
ANKRD33	0.00223	0.975926
ANKRD33B	-0.0136	1
ANKRD34A	-0.00529	0.692936
ANKRD34C	-1.33E-14	1
ANKRD35	0.118	0.347119
ANKRD36BP2	-0.129	0.49326
ANKRD37	0.0187	0.932124
ANKRD39	-0.00509	1
ANKRD40	0.000728	1
ANKRD44	-0.0431	0.884581
ANKRD45	0.00262	0.993365
ANKRD46	-0.658	0.029596
ANKRD49	-0.412	0.056597
ANKRD50	0.0694	0.672458
ANKRD52	0.0705	0.582494
ANKRD53	0.0985	0.288248
ANKRD54	-0.0318	0.906334
ANKRD55	0.07	0.917234
ANKRD6	-0.171	0.335326
ANKRD60	0.000924	1
ANKRD65	-1.33E-14	1
ANKRD7	0.00401	0.581974
ANKRD9	0.11	0.878643
ANKS1A	0.138	0.661254
ANKS1B	-1.33E-14	1
ANKS3	-0.0399	0.549664
ANKS4B	0.00274	0.495429
ANKS6	0.0019	0.59856
ANKUB1	0.0131	0.489434
ANKZF1	0.0278	0.89258
ANLN	-0.00232	1
ANO1	-1.33E-14	1
ANO10	0.42	0.049719
ANO2	0.00223	0.498488
ANO3	-0.0000303	1
ANO4	0.00123	0.637331
ANO5	-0.008	0.993421
ANO6	-0.0365	0.859197
ANO7	0.00241	0.766884
ANO8	0.0105	0.345826
ANO9	-0.0249	0.974808
ANOS1	0.0333	0.567003
ANP32A	-0.0593	0.67408
ANP32A-IT1	0.0431	0.954347
ANP32B	-0.233	0.087173
ANP32C	-0.000256	0.9617
ANP32D	0.0165	0.924112
ANP32E	-0.369	0.069021
ANPEP	0.215	0.278232
ANTXR1	0.00242	0.517481
ANTXR2	0.111	0.329672
ANXA1	-0.193	0.491956
ANXA10	0.00313	0.255272
ANXA11	0.16	0.296802
ANXA13	-1.33E-14	1
ANXA2	0.0554	0.971923
ANXA2P1	0.0684	0.386322
ANXA2P2	0.0562	0.922681
ANXA2P3	0.0348	0.660575
ANXA2R	-0.242	0.356822
ANXA3	0.231	0.30843
ANXA4	-0.0443	0.938984
ANXA5	0.0514	0.910084
ANXA6	0.214	0.606144
ANXA7	0.0113	1
ANXA9	-0.0052	1
AOAH	0.168	0.175694
AOC1	0.43	0.269039
AOC2	-0.234	0.177822
AOC3	-0.356	0.127239
AOC4P	0.0689	0.095047
AOX1	-1.33E-14	1
AP1AR	-0.178	0.189184
AP1B1	0.117	0.329975
AP1G1	0.172	0.172783
AP1G2	0.0702	0.606764
AP1M1	0.136	0.428114
AP1M2	0.0584	0.251219
AP1S1	0.00238	0.877335
AP1S2	-0.297	0.249088
AP1S3	-1.33E-14	1
AP2A1	0.131	0.801416
AP2A2	0.0584	0.602755
AP2B1	0.142	0.637803
AP2M1	-0.028	0.94859
AP2S1	-0.0826	0.699899
AP3B1	0.0685	0.581189
AP3B2	0.111	0.388622
AP3D1	-0.00643	0.930465
AP3M1	-0.089	0.707002
AP3M2	-0.2	0.547469
AP3S2	0.199	0.107433
AP4B1	-0.0442	0.871747
AP4E1	-0.0244	0.645707
AP4M1	-0.00195	1
AP4S1	-0.0177	0.576398
AP5B1	0.188	0.643046
AP5M1	-0.268	0.086729
AP5S1	0.137	0.350317
AP5Z1	0.0671	0.627432
APAF1	-0.0173	0.931497
APBA1	0.000662	0.552185
APBA2	-0.0427	0.928016
APBA3	0.138	0.083124
APBB1	-0.0126	0.982284
APBB1IP	0.253	0.227799
APBB2	-1.33E-14	1
APBB3	0.0944	0.525207
APC	-0.0808	0.618361
APC2	0.00172	0.704815
APCDD1	0.0832	0.222709
APCDD1L	-0.00807	0.839585
APCDD1L-AS1	0.000264	0.960825
APCS	0.026	0.577881
APEH	0.0165	0.99248
APELA	0.00372	0.488182
APEX1	-0.271	0.283275
APEX2	0.0826	0.676882
APH1A	0.0592	0.797131
APH1B	0.15	0.535982
API5	-0.179	0.41558
APITD1	-0.0525	0.387818
APLF	-0.00364	0.799566
APLN	0.000178	1
APLNR	0.0108	0.216545
APLP1	-1.33E-14	1
APLP2	0.169	0.288515
APMAP	0.156	0.380917
APOA1	0.00929	0.706656
APOA2	-0.000357	0.976772
APOA4	0.052	0.579605
APOA5	-0.00000409	1
APOB	-0.0000152	1
APOBEC1	0.00379	0.868157
APOBEC2	0.0711	0.593792
APOBEC3B	0.612	0.721774
APOBEC3C	-0.0562	0.896135
APOBEC3D	-0.00535	1
APOBEC3F	-0.102	0.32768
APOBEC3G	-0.0912	0.73832
APOBEC4	-0.0012	0.832617
APOBR	0.238	0.329975
APOC1	-0.000762	0.787282
APOC1P1	0.0682	0.432552
APOC2	0.0784	0.608983
APOC3	0.0938	0.754844
APOC4	0.0329	0.641696
APOD	-0.00564	0.993896
APOE	0.0152	0.776986
APOF	0.0017	0.463876
APOH	0.0287	0.390253
APOL1	0.177	0.670664
APOL2	0.0946	0.560093
APOL3	-0.127	0.824201
APOL4	-0.026	0.942639
APOL5	0.000616	0.565579
APOL6	0.175	0.6243
APOLD1	-0.0201	0.919596
APOM	0.00393	1
APOO	0.153	0.183082
APOOL	-0.0642	0.412015
APOPT1	-0.114	0.601356
APP	0.135	0.0175
APPBP2	-0.17	0.288248
APPL1	-0.222	0.195223
APPL2	-0.147	0.613504
APRT	-0.11	0.775785
APTR	-0.208	0.264044
APTX	-0.091	0.654741
AQP1	-0.00493	1
AQP10	0.37	0.434447
AQP11	0.000704	0.736724
AQP2	0.000591	1
AQP3	-0.268	0.288227
AQP4	-1.33E-14	1
AQP4-AS1	-0.00162	0.790438
AQP5	0.0183	0.837879
AQP6	-0.000181	0.886483
AQP7	0.17	0.587934
AQP8	0.00715	0.806339
AQP9	0.0767	0.486255
AQR	-0.0249	0.97817
AR	-0.000144	0.90873
ARAF	0.131	0.211922
ARAP1	0.179	0.233045
ARAP2	-0.235	0.447795
ARAP3	0.00739	1
ARC	0.00431	0.495162
ARCN1	0.131	0.36865
AREL1	0.177	0.369654
ARF1	-0.0133	0.995687
ARF3	0.328	0.022662
ARF4	-0.0657	0.475115
ARF5	0.0866	0.588133
ARF6	-0.0215	0.961855
ARFGAP1	0.0127	0.962952
ARFGAP2	0.0889	0.517047
ARFGAP3	0.132	0.459031
ARFGEF1	-0.0827	0.766884
ARFGEF2	-0.116	0.471287
ARFGEF3	-1.33E-14	1
ARFIP1	-0.268	0.111186
ARFIP2	0.0209	1
ARFRP1	0.0452	0.767109
ARG1	-0.0119	1
ARG2	-0.0107	1
ARGLU1	-0.286	0.033989
ARHGAP1	0.121	0.426018
ARHGAP10	0.0148	1
ARHGAP11A	-0.00000856	1
ARHGAP12	-0.261	0.364319
ARHGAP15	0.0673	0.708877
ARHGAP17	-0.12	0.696762
ARHGAP18	-0.0533	0.835284
ARHGAP19	-0.0186	1
ARHGAP20	-0.000959	0.999602
ARHGAP21	0.0598	0.292982
