Gene	logFC	p.value
PGM1	0.964218754	0.392
PGM2	0.941889597	0.397
PGRP	1.053292521	0.804
PIMT	1.263313298	0.109
PLBL1	0.809095899	0.735
PLEK	1.018591388	0.629
PLF4	0.788755501	0.473
PLP2	1.00461579	0.858
PLSL	1.425607594	0.053
PNCB	1.737800829	0.51
PNPH	1.178867186	0.408
PP1B	0.968277856	1
PPIA	1.047128548	0.562
PPIB	0.934436638	0.473
PRDX3	0.325697581	0.508
PRDX5	0.96747332	0.408
PRDX6	0.912010839	0.14
PROF1	0.972747224	0.629
PRRC1	1.786487575	0.077
PRTN3	1.541700453	0.516
PSA	1.031939218	0.544
PSA1	0.91622049	0.434
PSA2	1.07089101	0.204
PSA4	0.879022517	0.546
PSA5	1.258925412	0.157
PSA6	1.066596121	0.481
PSA7	1.070675681	0.392
PSB1	1.037528416	0.925
PSB10	1.541700453	0.061
PSB2	0.941889597	0.67
PSB3	1.127197456	0.212
PSB4	1.174897555	1
PSB8	1.01979162	0.307
PSD12	0.995405417	1
PSME2	0.955145755	0.934
PTBP1	0.827942164	0.439
PTN12	1.106623784	0.724
PTN6	1.270574105	0.215
PTX3	1.425607594	0.699
PUR9	1.013911386	0.926014485
PURA2	1.317408066	0.064
PYGB	1.148153621	0.48
PYGL	0.961227575	0.408
QSOX1	1.148153621	0.463
RAB10	0.957595978	0.89
RAB14	1.091928731	0.72
RAB1B	0.866961876	0.439
RAB21	1.093175915	0.176
RAB2A	1.128516809	0.392
RAB3D	1.282330583	0.947
RAB5B	0.839459987	0.286
RAB5C	1.018591388	0.593
RAB7A	0.654636174	0.072
RAC1	1.21338885	0.48
RAC2	1.126477045	0.32
RAN	1.127197456	0.709
RAP1A	1.127197456	0.795
RAP1B	0.685488226	0.026
RAP2B	1.348962883	0.289
RB27B	1.729816359	0.108
RETN	0.76913044	0.231
RHOA	0.809095899	0.685
RHOG	1.066527917	0.077
RINI	0.981491691	0.49
RNAS2	1.100988431	0.038
RNT2	1.21338885	0.698
ROA1	1.203782767	0.525
ROA2	1.073145099	0.6
RPN1	0.8830799	1
RPN2	1.122018454	0.126034879
RS15A	1.056817509	0.032
RSU1	0.954992586	0.796
RTN3	0.688652296	0.248
RTN4	1.091440336	0.564
RUEL1	1.931968317	0.245
S100P	1.127197456	0.386
S10A6	1.056817509	0.587
S10A8	0.695024318	0.334
S10A9	0.993970927	0.639
S10AB	1.042378337	0.562
S10AC	1.164126029	0.45
S27A2	0.72443596	0.289
SAHH	0.874983775	0.122
SET	1.324341535	0.48
SH3L1	0.912010839	0.399
SH3L3	0.868783828	0.082
SIRB1	1.185768748	0.858
SNAA	0.895364766	0.142
SODC	1.049512773	0.348
SODM	0.891288275	0.525
SPB10	0.981747943	0.8
SPTA2	1.102918029	0.581
SPTB2	0.972747224	0.845
SRC	0.944051638	0.6
SRGN	1.344224995	0.619
ST1A1	1.230268771	0.05
ST1A2	0.583445104	0.011
STAT3	1.245434011	0.246
STIP1	0.758577575	0.423
STK4	0.801678063	0.48
STOM	1.100143683	0.334
STX7	1.060137192	0.408
STXB2	1.133224656	0.934
SYWC	0.76913044	0.245
TAGL2	0.881804265	0.562
TALDO	1.132400363	0.431
TBA1A	1.235947433	0.48
TBA1B	0.918009837	0.679
TBA1C	0.682338694	0.699
TBB2A	0.698232404	0.157
TBB2B	1.191242008	0.724
TBB2C	1.018591388	0.808
TBB5	0.777567068	0.224
TERA	0.879022517	0.854
THAS	0.554981705	0.143
THIC	0.731139083	0.724
THIO	0.8830799	0.508
TKT	1.008719169	0.562
TLN1	0.496592321	0.082
TMSL1	1.009252886	0.724
TOLIP	1.056817509	0.699
TOR1A	0.986279486	0.699
TPIS	1.07870816	0.392
TPM3	1.112933576	0.32
TPM3L	1.12894239	0.235
TPM4	1.036202095	0.679
TRFL	1.294195841	0.481
TSNAX	0.879022517	0.699
TSP1	0.835603018	0.241
TWF2	0.900544146	0.282
TXND5	1.162941208	0.246
TYPH	0.974861624	0.72
UBA1	1.05230416	0.077
UBIQ	1.49279441	0.032
UBQL1	0.630957344	0.034
UGPA	0.94130844	0.348
UN13D	1.009252886	0.324
URP2	0.731139083	0.469
VASP	1.019650353	0.269
VAT1	0.536594588	0.348
VATC1	1.555965632	0.285
VIME	1.053406421	0.619
VINC	0.783475579	0.377
VNN2	1.614358557	0.439
VTDB	0.928966387	0.935
VWF	1.032338269	0.32
WDR1	0.948715896	0.377
ZYX	0.779830111	0.289
