Gene	deGoede2017.padj	deGoede2017.logFC
ACPT	0.99	0.0185
ACR	0.99	-0.0238
ACRBP	0.99	-0.0132
ACRV1	0.99	-0.00392
ACSBG1	0.99	0.0166
ACSBG2	0.99	-0.0103
ACSF2	0.416	0.00631
ACSF3	0.121	-0.0551
ACSL1	0.663	-0.00914
ACSL3	0.936	0.0165
ACSL5	0.99	-0.00644
ACSL6	0.0161	-0.0861
ACSM1	0.99	-0.0184
ACSM2A	0.99	-0.0165
ACSM3	0.0719	-0.112
ACSM4	0.99	-0.00375
ACSM5	0.99	-0.0172
ACSM6	0.99	-0.00215
ACSS1	0.99	-0.019
ACSS2	0.919	-0.00732
ACSS3	0.0786	0.0207
ACTA1	0.0173	-0.0364
ACTA2	0.0397	-0.0134
ACTB	0.936	-0.00645
ACTBL2	0.518	-0.0707
ACTC1	0.884	-0.013
ACTG1	0.00386	0.0744
ACTG1P17	0.99	0.00359
ACTG2	0.99	0.0358
ACTL6A	0.99	-0.00432
ACTL6B	0.479	-0.0744
ACTL7A	0.99	-0.0139
ACTL7B	0.99	-0.039
ACTL8	0.1	-0.0355
ACTL9	0.256	-0.0377
ACTN1	0.99	0.0148
ACTN1-AS1	0.805	-0.00653
ACTN2	0.015	-0.0521
ACTN3	0.0331	-0.109
ACTN4	0.99	-0.00479
ACTR1A	0.831	0.00953
ACTR1B	0.606	-0.00661
ACTR2	0.248	-0.00997
ACTR3	0.775	-0.0104
ACTR3B	0.000106	-0.149
ACTR3BP2	0.627	-0.0552
ACTR3BP5	0.582	-0.0442
ACTR3C	0.409	-0.0533
ACTR5	0.95	-0.00726
ACTR6	0.867	-0.00485
ACTR8	0.739	-0.00689
ACTRT2	0.0741	0.0731
ACTRT3	0.99	-0.00664
ACVR1	0.182	-0.0314
ACVR1B	0.99	-0.00225
ACVR1C	0.692	-0.0141
ACVR2A	0.68	0.0259
ACVR2B	0.541	-0.00594
ACVR2B-AS1	0.911	-0.00719
ACVRL1	0.99	-0.00326
ACY3	0.0652	-0.0843
ACYP1	0.607	-0.0121
ACYP2	0.000329	0.116
ADA	0.99	-0.00484
ADAD1	0.967	-0.0191
ADAD2	0.367	-0.0386
ADAL	0.99	-0.00359
ADAM10	0.573	-0.033
ADAM11	0.254	-0.0399
ADAM12	0.746	0.0371
ADAM17	0.853	-0.0104
ADAM18	0.99	-0.0234
ADAM19	0.0766	0.0421
ADAM2	0.99	-0.013
ADAM20	0.99	-0.0105
ADAM21	0.99	-0.0209
ADAM21P1	0.99	0.0024
ADAM22	0.895	0.0138
ADAM23	0.968	-0.00612
ADAM28	0.99	-0.0352
ADAM29	0.537	-0.00773
ADAM30	0.99	-0.0149
ADAM32	0.698	0.00764
ADAM33	0.189	-0.07
ADAM3A	0.914	-0.0343
ADAM5	0.209	0.0345
ADAM6	0.985	-0.04
ADAM7	0.254	-0.0693
ADAM8	0.782	-0.00919
ADAM9	0.99	-0.0032
ADAMDEC1	0.99	-0.0639
ADAMTS1	0.99	-0.00582
ADAMTS10	0.957	-0.0109
ADAMTS12	0.99	-0.00822
ADAMTS13	0.079	-0.0455
ADAMTS14	0.99	0.00236
ADAMTS15	0.747	0.0474
ADAMTS16	0.212	-0.0374
ADAMTS17	0.599	-0.0686
ADAMTS18	0.475	-0.0411
ADAMTS19	0.0837	0.0258
ADAMTS2	0.0285	-0.071
ADAMTS20	0.136	-0.0931
ADAMTS3	0.92	-0.00676
ADAMTS4	0.501	0.056
ADAMTS5	0.99	-0.0143
ADAMTS6	0.456	-0.0124
ADAMTS7	0.99	-0.013
ADAMTS7P1	0.99	-0.00925
ADAMTS8	0.17	-0.041
ADAMTS9	0.436	0.0519
ADAMTS9-AS2	0.963	-0.00994
ADAMTSL1	0.99	0.0055
ADAMTSL2	0.99	-0.0344
ADAMTSL3	0.796	-0.00503
ADAMTSL4	0.638	-0.0111
ADAMTSL5	0.99	-0.00843
ADAP1	0.135	-0.0468
ADAP2	0.652	0.0787
ADAR	0.565	-0.0089
ADARB1	0.494	-0.00697
ADARB2	0.392	-0.0522
ADAT1	0.282	-0.0939
ADAT2	0.934	-0.00926
ADCK1	0.0465	-0.034
ADCK2	0.178	0.019
ADCK5	0.741	-0.0294
ADCY1	0.45	-0.0456
ADCY10	0.99	-0.0117
ADCY10P1	0.99	-0.00952
ADCY2	0.99	-0.00154
ADCY3	0.209	0.0536
ADCY4	0.99	-0.0325
ADCY5	0.825	-0.01
ADCY6	0.99	-0.015
ADCY7	0.272	-0.0783
ADCY8	0.704	-0.027
ADCY9	0.166	-0.0352
ADCYAP1	0.287	-0.00847
ADCYAP1R1	0.99	-0.0172
ADD1	0.99	0.0044
ADD2	0.99	-0.00546
ADD3	0.911	-0.0288
ADD3-AS1	0.0634	0.0331
ADGB	0.322	-0.0277
ADGRA1	0.585	-0.028
ADGRA2	0.99	0.0155
ADGRA3	0.878	0.0388
ADGRB1	0.41	-0.0549
ADGRB2	0.228	-0.00536
ADGRB3	0.851	-0.0115
ADGRD1	0.000887	0.0666
ADGRD2	0.000276	0.0945
ADGRE1	0.99	-0.0569
ADGRE2	0.99	-0.00786
ADGRE3	0.99	-0.0189
ADGRE4P	0.99	-0.0163
ADGRE5	0.99	-0.0269
ADGRF1	0.99	-0.0168
ADGRF2	0.99	0.062
ADGRF3	0.99	-0.0075
ADGRF4	0.99	-0.0188
ADGRF5	0.99	-0.0132
ADGRG1	0.732	-0.114
ADGRG3	0.99	-0.0182
ADGRG5	0.99	-0.00689
ADGRG6	0.253	-0.0394
ADGRG7	0.99	-0.0354
ADGRL1	0.0786	0.12
ADGRL2	0.682	-0.0589
ADGRL3	0.99	-0.031
ADGRL4	0.00218	0.0496
ADGRV1	0.0771	0.0693
ADH1B	0.627	-0.0165
ADH1C	0.99	-0.0256
ADH5	0.99	0.008
ADH7	0.99	-0.0101
ADHFE1	0.606	0.018
ADI1	0.99	-0.0144
ADIG	0.99	-0.00545
ADIPOQ	0.427	-0.0128
ADIPOR1	0.99	-0.004
ADIPOR2	0.918	-0.00332
ADIRF	0.925	-0.0337
ADK	0.678	-0.0628
ADM	0.99	-0.00172
ADM2	0.97	0.00406
ADM5	0.944	-0.0196
ADNP	0.99	-0.0299
ADNP2	0.99	0.00584
ADO	0.129	0.0373
ADORA1	0.0943	0.0342
ADORA2A-AS1	0.696	0.0454
ADORA2B	0.99	-0.000931
ADORA3	0.99	-0.00226
ADPGK	0.858	-0.0422
ADPGK-AS1	0.99	-0.00747
ADPRH	0.99	0.0451
ADPRHL1	0.706	-0.0455
ADPRHL2	0.99	-0.00253
ADPRM	0.99	-0.00183
ADRA1A	0.99	0.00382
ADRA1B	0.164	-0.0168
ADRA1D	0.99	-0.0117
ADRA2A	0.838	-0.00585
ADRA2B	1.99E-05	0.0999
ADRA2C	0.0204	-0.0776
ADRB1	0.374	-0.0542
ADRB3	0.671	0.0255
ADRM1	0.99	-0.0521
ADSL	0.99	-0.0219
ADSS	0.99	-0.0354
ADSSL1	0.979	-0.00392
ADTRP	0.99	-0.0227
AEBP1	0.99	-0.023
AEBP2	0.658	-0.0142
AEN	0.78	0.0103
AES	0.99	-0.00351
AFAP1	0.299	-0.0516
AFAP1-AS1	0.441	-0.0881
AFAP1L1	0.99	-0.00248
AFAP1L2	0.00019	0.073
AFDN	0.0343	0.0608
AFDN-AS1	0.349	0.0276
AFF1	0.949	-0.0802
AFF3	0.39	0.0696
AFF4	0.975	-0.0177
AFG3L1P	0.823	-0.00615
AFG3L2	0.868	0.0439
AFM	0.99	0.0245
AFMID	0.99	-0.0121
AFP	0.99	-0.0436
AFTPH	0.99	0.0014
AGA	0.99	-0.00708
AGAP1	0.531	-0.0415
AGAP11	0.974	0.00984
AGAP2	0.349	0.0737
AGAP3	0.99	-0.0111
AGAP4	0.99	-0.0204
AGAP5	0.933	-0.0184
AGAP6	0.988	-0.0356
AGBL1	0.268	-0.0626
AGBL2	0.972	-0.00723
AGBL3	0.729	0.0147
AGBL4	0.625	-0.129
AGBL5	0.913	0.0262
AGER	0.99	-0.0201
AGFG1	0.99	0.0231
AGFG2	0.99	-0.00314
AGGF1	0.99	-0.00219
AGK	0.688	-0.00583
AGL	0.181	-0.0391
AGMO	0.99	0.00959
AGO1	0.873	-0.00872
AGO2	0.254	0.0328
AGO3	0.99	0.0136
AGO4	0.639	-0.00801
AGPAT1	0.725	0.0283
AGPAT2	0.826	0.0248
AGPAT3	0.00179	0.0956
AGPAT4	0.923	-0.0813
AGPAT5	0.985	-0.00557
AGPS	0.99	-0.00329
AGR2	0.99	-0.0147
AGR3	0.982	-0.059
AGRN	0.972	0.0421
AGRP	0.99	-0.00543
AGT	0.164	-0.0523
AGTPBP1	0.99	-0.000878
AGTR1	0.585	-0.0534
AGTRAP	0.99	-0.00778
AGXT	0.99	-0.0104
AGXT2	0.99	-0.022
AHCTF1	0.751	0.0345
AHCTF1P1	0.99	-0.0247
AHCY	0.99	-0.0478
AHCYL1	0.99	-0.0154
AHCYL2	0.854	-0.00668
AHDC1	0.049	0.0414
AHI1	0.661	0.019
AHNAK	0.317	0.0425
AHNAK2	0.226	0.0266
AHR	0.618	-0.00571
AHRR	0.71	-0.0128
AHSA1	0.99	-0.0083
AHSA2	0.0903	-0.0735
AHSG	0.854	-0.00803
AHSP	0.00163	0.046
AICDA	0.704	0.0629
AIDA	0.802	0.0173
AIF1	0.208	-0.0643
AIF1L	0.99	-0.00248
AIFM2	0.95	-0.0236
AIFM3	0.69	0.0592
AIG1	0.846	-0.00454
AIM1	0.739	-0.00632
AIM1L	0.98	-0.01
AIM2	0.463	0.0611
AIMP1	0.99	-0.0234
AIMP2	0.99	-0.0243
AIP	0.99	-0.0168
AIPL1	0.99	0.0129
AIRE	0.00509	0.121
AJAP1	0.182	-0.0543
AJUBA	0.99	0.00157
AK1	0.91	0.0376
AK2	0.787	-0.015
AK3	0.99	-0.00695
AK4	0.507	-0.00784
AK5	0.0191	-0.0679
AK7	0.00875	-0.092
AK8	0.99	-0.011
AK9	0.99	0.00212
AKAIN1	0.99	-0.01
AKAP1	0.849	-0.00592
AKAP10	0.151	-0.054
AKAP11	0.99	0.00942
AKAP12	0.0089	0.0275
AKAP13	0.408	-0.0125
AKAP3	0.91	-0.00637
AKAP6	0.99	0.0234
AKAP7	0.428	0.103
AKAP8	0.99	0.00289
AKAP8L	0.782	-0.0304
AKAP9	0.923	-0.00513
AKIP1	0.697	-0.00476
AKIRIN1	0.879	-0.00661
AKIRIN2	0.731	-0.00939
AKNA	0.989	-0.00655
AKNAD1	0.684	-0.00598
AKR1A1	0.632	-0.102
AKR1B1	0.99	-0.00829
AKR1B10	0.917	-0.0299
AKR1B15	0.99	-0.0106
AKR1C1	0.99	-0.0197
AKR1C3	0.0477	-0.156
AKR1C4	0.99	0.02
AKR1C6P	0.99	-0.0286
AKR1C8P	0.99	-0.00663
AKR1D1	0.824	-0.00783
AKR1E2	0.99	0.00467
AKR7A2	0.99	-0.0126
AKR7A3	0.624	-0.0185
AKR7L	0.99	-0.0648
AKT1	0.793	-0.0836
AKT1S1	0.101	-0.0201
AKT2	0.8	-0.00512
AKT3	0.791	-0.00981
AKTIP	0.99	0.00299
ALAD	0.99	-0.0363
ALAS1	0.99	-0.00971
ALB	0.99	0.0369
ALCAM	0.656	-0.00529
ALDH16A1	0.99	-0.00178
ALDH18A1	0.765	0.00567
ALDH1A1	0.99	0.00657
ALDH1A2	0.943	0.00523
ALDH1A3	0.0839	0.0623
ALDH1B1	0.745	-0.015
ALDH1L1	0.99	-0.00214
ALDH1L1-AS2	0.582	-0.0293
ALDH1L2	0.836	-0.00922
ALDH2	0.908	-0.0244
ALDH3A1	0.429	-0.244
ALDH3A2	0.99	0.00389
ALDH3B1	0.99	0.00311
ALDH3B2	0.761	-0.0343
ALDH4A1	0.888	-0.00748
ALDH5A1	0.99	0.00942
ALDH6A1	0.99	-0.00115
ALDH7A1	0.846	0.0118
ALDH8A1	0.99	0.0408
ALDH9A1	0.99	-0.00125
ALDOB	0.99	-0.0114
ALDOC	0.99	-0.00539
ALG1	0.212	-0.0558
ALG10	0.00175	-0.0901
ALG10B	0.0353	-0.0427
ALG11	0.99	-0.00113
ALG12	0.99	-0.00702
ALG14	0.929	-0.024
ALG1L	0.99	-0.0129
ALG1L2	0.99	-0.00413
ALG1L9P	0.82	-0.0745
ALG2	0.99	-0.000756
ALG3	0.99	-0.00495
ALG5	0.959	-0.00669
ALG6	0.99	-0.0042
ALG8	0.99	0.00334
ALG9	0.952	-0.00778
ALK	0.0126	-0.106
ALKBH1	0.99	-0.00219
ALKBH2	0.456	-0.00887
ALKBH3	0.99	-0.00586
ALKBH3-AS1	0.99	-0.0227
ALKBH4	0.99	-0.024
ALKBH5	0.97	-0.0449
ALKBH6	0.668	-0.0184
ALKBH7	0.681	-0.0591
ALKBH8	0.128	-0.0253
ALLC	0.0368	-0.105
ALMS1	0.743	-0.00616
ALMS1P1	0.99	-0.0138
ALOX12-AS1	0.716	0.0225
ALOX12B	0.0867	-0.0568
ALOX12P2	2.92E-05	0.0826
ALOX15	0.526	-0.0157
ALOX15B	0.914	0.0208
ALOX15P1	0.99	0.00615
ALOX5	0.325	-0.00887
ALOX5AP	0.99	-0.0049
ALOXE3	0.99	0.00732
ALPI	0.99	-0.0103
ALPK1	0.99	-0.0141
ALPK2	0.99	-0.0111
ALPK3	0.916	0.0427
ALPL	0.564	-0.0279
ALPP	0.0165	0.0434
ALPPL2	0.0119	0.0727
ALS2	0.99	-0.00242
ALS2CL	0.827	-0.00586
ALS2CR11	0.99	-0.00841
ALS2CR12	0.99	0.00574
ALX1	0.583	-0.0137
ALX3	0.00246	0.0543
ALX4	0.00215	0.0582
ALYREF	0.438	-0.00997
AMACR	0.902	-0.00665
AMBN	0.99	-0.0177
AMBP	0.99	-0.0114
AMBRA1	0.0108	-0.0307
AMD1	0.893	-0.00588
AMDHD1	0.99	-0.0152
AMDHD2	0.99	0.0114
AMER2	0.00588	-0.0778
AMER3	0.4	-0.0103
AMFR	0.99	-0.0024
AMH	0.186	-0.0559
AMHR2	0.99	-0.0233
AMIGO1	0.99	-0.00295
AMIGO2	0.99	-0.000788
AMMECR1L	0.99	-0.00505
AMN	0.358	0.0139
AMN1	0.99	0.00522
AMOTL1	0.554	0.0382
AMOTL2	0.186	0.0634
AMPD1	0.99	-0.0132
AMPD2	0.0996	-0.0794
AMPD3	0.906	-0.0282
AMPH	0.854	-0.00435
AMT	0.99	0.0179
AMTN	0.99	-0.00823
AMY1A	0.99	-0.011
AMY2A	0.99	-0.017
AMY2B	0.99	0.008
AMZ1	0.00132	-0.0268
AMZ2	0.609	-0.0153
AMZ2P1	0.798	-0.0672
ANAPC1	0.99	-0.00387
ANAPC10	0.605	-0.00769
ANAPC11	0.99	-0.00114
ANAPC13	0.533	0.0148
ANAPC15	0.99	0.00173
ANAPC16	0.486	-0.0645
ANAPC2	0.628	-0.0114
ANAPC4	0.99	0.000821
ANAPC5	0.99	-0.00137
ANAPC7	0.886	-0.0109
ANG	0.118	-0.071
ANGEL1	0.913	-0.0139
ANGEL2	0.194	-0.0938
ANGPT1	0.99	0.0562
ANGPT4	0.99	-0.000935
ANGPTL4	0.608	-0.034
ANGPTL5	0.0478	0.0965
ANGPTL6	0.267	-0.0283
ANK1	0.135	-0.109
ANK2	0.438	0.0702
ANK3	0.99	-0.0173
ANKAR	0.555	-0.0579
ANKDD1A	0.99	0.00461
ANKDD1B	0.39	-0.0532
ANKFN1	0.99	-0.0369
ANKFY1	0.168	0.0125
ANKH	0.0439	-0.017
ANKHD1-EIF4EBP3	0.903	-0.00981
ANKIB1	0.698	0.0195
ANKK1	0.863	0.0235
ANKLE1	0.99	0.00653
ANKLE2	0.879	-0.0061
ANKMY1	0.99	-0.00675
ANKMY2	0.99	-0.00635
ANKRA2	0.99	-0.000783
ANKRD1	0.99	0.0124
ANKRD10	0.396	-0.00588
ANKRD11	4.50E-05	-0.115
ANKRD12	0.99	-0.00156
ANKRD13A	0.99	-0.00095
ANKRD13B	0.00565	-0.085
ANKRD13C	0.831	-0.00969
ANKRD13D	0.99	-0.0143
ANKRD16	0.99	-0.00129
ANKRD17	0.99	-0.000809
ANKRD18A	0.99	0.0281
ANKRD18B	0.99	0.000959
ANKRD18DP	0.474	-0.069
ANKRD19P	0.67	-0.0202
ANKRD2	0.99	-0.0357
ANKRD20A11P	0.99	0.0242
ANKRD20A12P	0.228	-0.0406
ANKRD20A19P	0.99	0.00635
ANKRD20A3	0.99	-0.0322
ANKRD20A4	0.826	0.0406
ANKRD20A5P	0.99	-0.0234
ANKRD20A8P	0.262	-0.0266
ANKRD20A9P	0.0463	-0.0836
ANKRD22	0.99	-0.0156
ANKRD23	0.99	-0.0206
ANKRD24	0.99	-0.00382
ANKRD26	0.287	-0.0688
ANKRD26P1	0.152	-0.0558
ANKRD26P3	0.212	-0.135
ANKRD27	0.99	-0.0341
ANKRD28	0.0184	-0.0927
ANKRD29	0.509	-0.00861
ANKRD30A	0.0634	-0.122
ANKRD30B	0.434	-0.0401
ANKRD30BL	0.489	-0.0505
ANKRD30BP2	0.523	-0.0603
ANKRD30BP3	0.99	0.005
ANKRD31	0.721	-0.00422
ANKRD33	0.497	-0.0185
ANKRD33B	0.55	0.0217
ANKRD34B	0.99	-0.0074
ANKRD34C	0.714	-0.0521
ANKRD34C-AS1	0.216	-0.0715
ANKRD36	0.774	-0.0129
ANKRD36B	0.99	0.0142
ANKRD36BP2	0.128	0.0494
ANKRD37	0.0101	-0.101
ANKRD39	0.953	-0.00876
ANKRD40	0.537	-0.00722
ANKRD42	0.817	-0.00522
ANKRD44	0.0445	0.0772
ANKRD45	0.858	-0.0146
ANKRD46	0.99	-0.00682
ANKRD49	0.99	-0.00148
ANKRD50	0.0564	0.0749
ANKRD52	0.99	-0.00265
ANKRD53	0.703	0.0252
ANKRD54	0.362	-0.00608
ANKRD55	0.844	0.111
ANKRD6	0.99	-0.00984
ANKRD62	0.99	-0.0196
ANKRD63	0.99	-0.00818
ANKRD65	0.99	0.0155
ANKRD66	0.99	-0.0156
ANKRD7	0.667	-0.0132
ANKRD9	0.947	-0.0296
ANKS1A	0.99	-0.00359
ANKS1B	0.149	0.055
ANKS3	0.845	-0.0103
ANKS4B	0.99	-0.00831
ANKS6	0.99	-0.0206
ANKUB1	0.99	-0.0142
ANKZF1	0.99	-0.00364
ANLN	0.99	0.0264
ANO1	0.551	-0.0127
ANO10	0.835	0.0651
ANO2	0.99	-0.00531
ANO3	0.824	-0.0546
ANO4	0.87	-0.045
ANO5	0.849	-0.0137
ANO6	0.99	-0.025
ANO7	0.561	0.0566
ANO8	0.99	0.00746
ANO9	0.00794	-0.0364
ANP32A	0.856	0.0139
ANP32AP1	0.99	0.0121
ANP32B	0.99	0.0171
ANP32D	0.99	-0.0288
ANP32E	0.64	-0.0141
ANPEP	0.865	-0.0182
ANTXR1	0.883	-0.0285
ANTXR2	0.0416	0.213
ANXA1	0.99	-0.00937
ANXA10	0.585	0.0378
ANXA11	0.99	0.000611
ANXA13	0.99	0.0141
ANXA2	0.68	-0.0102
ANXA2P2	0.99	-0.00871
ANXA2P3	0.99	-0.0198
ANXA2R	0.098	-0.015
ANXA3	0.514	-0.0593
ANXA4	0.583	-0.115
ANXA5	0.0145	-0.196
ANXA6	0.811	-0.0124
ANXA7	0.136	0.0279
ANXA8	0.189	0.0625
ANXA9	0.99	-0.00179
AOAH	0.99	-0.0552
AOC1	0.888	-0.00589
AOC2	0.99	-0.0843
AOC3	0.99	-0.0157
AOC4P	0.99	-0.00735
AOX1	0.99	-0.00695
AOX2P	0.99	-0.00971
AP1AR	0.833	0.0147
AP1B1	0.99	-0.00624
AP1G1	0.907	-0.0733
AP1G2	0.99	-0.00683
AP1M1	0.99	-0.0273
AP1M2	0.485	-0.0359
AP1S1	0.99	-0.0221
AP1S3	0.99	0.0026
AP2A1	0.935	0.0143
AP2A2	0.283	0.0336
AP2B1	0.95	-0.00926
AP2M1	0.64	-0.0107
AP2S1	0.881	-0.0266
AP3B1	0.61	-0.00541
AP3B2	0.99	-0.00253
AP3D1	0.99	-0.00313
AP3M1	0.99	0.00296
AP3M2	0.374	-0.00677
AP3S1	0.0585	-0.0738
AP4B1	0.99	-0.00555
AP4B1-AS1	0.99	0.00694
AP4E1	0.82	-0.00661
AP4M1	0.75	-0.00571
AP4S1	0.99	-0.00394
AP5B1	0.726	-0.00849
AP5M1	0.796	-0.00529
AP5S1	0.99	0.00116
AP5Z1	0.99	-0.00538
APAF1	0.5	-0.0101
APBA1	0.814	-0.00487
APBA2	0.99	-0.0167
APBA3	0.99	0.00507
APBB1	0.064	-0.0414
APBB1IP	0.424	-0.00608
APBB2	0.656	0.0199
APBB3	0.99	-0.0158
APC	0.301	-0.00633
APC2	0.0702	-0.0432
APCDD1	0.000492	0.11
APCDD1L	0.861	0.0281
APCDD1L-AS1	0.99	0.00825
APCS	0.99	0.0126
APEH	0.99	0.00562
APELA	0.99	-0.0203
APEX1	0.99	-0.0149
APH1A	0.99	-0.000443
APH1B	0.935	-0.0103
API5	0.0681	-0.0192
APIP	0.99	-0.00386
APITD1-CORT	0.189	-0.0124
APLF	0.99	-0.00166
APLNR	0.903	-0.0266
APLP1	0.886	-0.0286
APLP2	0.99	0.000862
APMAP	0.474	-0.0753
APOA1	0.368	-0.0414
APOA2	0.99	-0.0153
APOA4	0.99	-0.0063
APOA5	0.0919	-0.0381
APOB	0.00149	0.0635
APOBEC1	0.99	-0.013
APOBEC3A_B	0.599	0.0204
APOBEC3C	0.99	-0.00233
APOBEC3D	0.99	0.0133
APOBEC3F	0.99	-0.0109
APOBEC3G	0.114	-0.0353
APOBEC3H	0.977	0.00972
APOBR	0.99	-0.0122
APOC1	0.99	0.0116
APOC1P1	0.99	-0.0226
APOC3	0.99	-0.013
APOC4-APOC2	0.99	-0.0078
APOD	0.99	0.00967
APOE	0.99	-0.0099
APOF	0.99	-0.0116
APOH	0.99	-0.0169
APOL1	0.402	-0.0583
APOL2	0.99	0.00649
APOL3	0.0289	-0.0412
APOL4	0.254	-0.197
APOL5	0.99	-0.0203
APOL6	0.705	0.00876
APOM	0.79	-0.0302
APOOP5	0.39	-0.0632
APP	0.99	-0.0213
APPBP2	0.969	-0.00612
APPL1	0.787	-0.00647
APPL2	0.73	0.0547
APRT	0.99	-0.000509
APTR	0.887	-0.00609
APTX	0.000324	-0.0752
AQP1	0.792	0.0335
AQP10	0.99	-0.0346
AQP11	0.99	0.00306
AQP12A	0.99	-0.0329
AQP12B	0.000569	-0.147
AQP2	0.0827	-0.0351
AQP3	0.977	-0.0728
AQP4	0.99	-0.022
