Gene	Chim2012.logFC	Chim2012.padj
ACSM1	-0.16107211	0.3655943
ACSM2A	-0.14949842	0.2935259
ACSM2B	-0.00133152	0.9950331
ACSM3	-0.22397633	0.0922735
ACSM5	-0.10633735	0.6954852
ACSS1	1.28812208	0.0050858
ACSS2	0.03991747	0.9106476
ACSS3	0.14214526	0.5985085
ACTA1	-0.78506489	0.0472352
ACTA2	-0.7700777	0.0310632
ACTA2-AS1	-0.39262018	0.1398664
ACTB	-1.46501962	0.0004057
ACTBP9	-0.20865278	0.4395825
ACTC1	-1.13296681	0.0020565
ACTG1P17	0.09591398	0.5806543
ACTG2	-1.71131344	0.0019185
ACTL10	-0.03372993	0.8854536
ACTL6A	0.03255997	0.9303521
ACTL6B	0.09097677	0.5859308
ACTL7A	0.09115343	0.6490652
ACTL7B	0.15520778	0.2617326
ACTL8	-0.29294424	0.2210538
ACTL9	-0.06122737	0.7920536
ACTN1	-0.54156933	0.0341808
ACTN2	-0.26200237	0.1039863
ACTN3	0.02752657	0.9385888
ACTN4	0.56813336	0.0065243
ACTR10	0.14086628	0.4755049
ACTR1A	-0.11628294	0.792026
ACTR1B	0.17716913	0.2450338
ACTR2	-2.10117559	0.0000544
ACTR3	-0.16350822	0.2695743
ACTR3B	-0.24465227	0.2492435
ACTR3BP2	0.0823956	0.6860328
ACTR3C	0.11634235	0.856009
ACTR5	-0.1389205	0.4461327
ACTR6	0.28739815	0.1437206
ACTR8	-0.35025253	0.0924222
ACTRT2	-0.00603914	0.9849196
ACTRT3	0.00107231	0.9971182
ACVR1	0.30077248	0.2313534
ACVR1B	-0.26796102	0.2440869
ACVR1C	0.14240499	0.606135
ACVR2A	-0.29275026	0.3400618
ACVR2B	-0.6798789	0.031319
ACVR2B-AS1	-0.08114571	0.7414833
ACVRL1	0.52871571	0.0917087
ACY1	-0.17131925	0.4466647
ACY3	0.04680843	0.8190867
ACYP1	0.1045269	0.6408768
ADA	-0.33586644	0.1772276
ADAD1	0.11736398	0.35407
ADAD2	0.11589379	0.6568415
ADAL	-0.28881402	0.4354216
ADAM10	-0.3701251	0.0794452
ADAM11	0.22303104	0.3357552
ADAM12	1.23595505	0.0060141
ADAM15	-0.59591399	0.0183316
ADAM17	0.40672407	0.0905516
ADAM18	-0.26912327	0.1541242
ADAM19	-0.14526933	0.3868001
ADAM2	-0.06668873	0.7663919
ADAM20	-0.13162751	0.5377615
ADAM21	-0.15736213	0.4610022
ADAM22	0.16443858	0.5452314
ADAM23	-0.11375251	0.5747188
ADAM28	0.3004416	0.118185
ADAM30	-0.05444727	0.8174408
ADAM32	-0.00782475	0.9709163
ADAM33	0.90026332	0.0011153
ADAM3A	-0.05167079	0.8130239
ADAM3B	-0.14567127	0.5148052
ADAM5	-0.08434906	0.5883076
ADAM6	-0.16288996	0.2111715
ADAM7	-0.12336025	0.4414924
ADAM8	-0.08305621	0.7514508
ADAM9	-1.61258089	0.0034794
ADAMDEC1	0.48163385	0.3761123
ADAMTS1	-1.11448155	0.0033486
ADAMTS10	-0.4600974	0.1718776
ADAMTS12	0.17680278	0.6397141
ADAMTS13	0.25224018	0.1746934
ADAMTS14	0.06493187	0.8031171
ADAMTS15	-1.20996628	0.0082055
ADAMTS16	-0.19521952	0.3452679
ADAMTS17	-0.33757658	0.0229591
ADAMTS18	0.42047501	0.5223054
ADAMTS19	0.81944867	0.0305561
ADAMTS2	-0.9246007	0.0178291
ADAMTS20	-0.07863169	0.7033947
ADAMTS3	1.42200033	0.0148524
ADAMTS4	0.06853137	0.8227608
ADAMTS5	-0.96981725	0.0737064
ADAMTS6	-1.18801507	0.025354
ADAMTS7	-0.09927592	0.7221178
ADAMTS8	0.65788106	0.186828
ADAMTS9	0.78376781	0.1314452
ADAMTS9-AS1	0.0443305	0.8339753
ADAMTS9-AS2	-0.19759807	0.5268917
ADAMTSL1	-0.20105419	0.2940077
ADAMTSL2	0.05427141	0.8413252
ADAMTSL3	0.07222843	0.7805017
ADAMTSL4	0.48212985	0.1475964
ADAMTSL5	-0.08623762	0.774448
ADAP1	-0.41696024	0.1878043
ADAP2	0.31000261	0.1630175
ADAR	0.11092472	0.4439744
ADARB1	-1.80596086	0.0009614
ADARB2	-0.10288286	0.6070136
ADARB2-AS1	-0.01983071	0.9603633
ADAT1	0.97801071	0.0001278
ADAT2	0.03426805	0.8591607
ADAT3	0.13160525	0.554379
ADCK1	0.14041166	0.5265674
ADCK2	0.42253785	0.0604552
ADCK5	-0.32829676	0.0565358
ADCY1	-0.08576903	0.7186586
ADCY10	-0.15695791	0.477712
ADCY10P1	-0.21519804	0.3966963
ADCY2	-0.38832402	0.1198245
ADCY3	-0.50508155	0.0906132
ADCY4	0.35605555	0.3089703
ADCY5	-0.02668962	0.891736
ADCY6	0.07711335	0.8894354
ADCY7	-0.15797243	0.5108181
ADCY8	-0.02289438	0.9477317
ADCY9	0.29227867	0.2605511
ADCYAP1	-0.17766681	0.4408439
ADCYAP1R1	-0.08811574	0.7201519
ADD1	-0.51784286	0.0050858
ADD2	-0.15673137	0.4645998
ADD3	-0.3246461	0.5215465
ADD3-AS1	-0.04435725	0.8774565
ADGB	-0.18769054	0.2777639
ADGRA1	0.11386456	0.5352456
ADGRA2	-0.22335139	0.4869352
ADGRA3	0.34291406	0.0697334
ADGRB1	0.35955028	0.0867033
ADGRB2	0.21141114	0.2823975
ADGRB3	-0.14621758	0.2745782
ADGRD1	-0.63638534	0.0347166
ADGRD2	-0.17310858	0.6865698
ADGRE1	-0.03913903	0.8905252
ADGRE2	-0.27769709	0.134374
ADGRE3	-0.03686752	0.8870849
ADGRE5	0.42587528	0.4720724
ADGRF1	-0.12149768	0.4204308
ADGRF2	-0.01735106	0.9362869
ADGRF3	0.01773682	0.9415017
ADGRF4	-0.35950547	0.5076579
ADGRF5	0.59093818	0.2565455
ADGRG1	-0.26839037	0.1920021
ADGRG2	0.2677014	0.8042551
ADGRG3	-0.13226676	0.4781606
ADGRG4	0.22246399	0.2725235
ADGRG5	0.17708225	0.2623013
ADGRG6	-1.43875093	0.0031048
ADGRG7	-0.07204146	0.6969757
ADGRL1	0.1481432	0.4570578
ADGRL2	0.38384294	0.3977755
ADGRL3	1.28050842	0.0192451
ADGRL4	0.63406268	0.104176
ADGRV1	0.51095267	0.2965272
ADH1A	-0.02829671	0.880999
ADH1B	-0.18345261	0.2321274
ADH1C	-0.13382759	0.3686385
ADH4	0.24501953	0.177791
ADH5	0.13219719	0.7234495
ADH6	-0.1146636	0.5541983
ADH7	0.05796843	0.6916433
ADHFE1	-0.18099346	0.6041353
ADI1	0.25320926	0.1496219
ADIG	-0.05968332	0.76959
ADIPOQ	-0.12815857	0.4749346
ADIPOR1	-0.2893198	0.1097159
ADIPOR2	-0.24687443	0.2562572
ADIRF	0.55042162	0.0497038
ADIRF-AS1	0.83473169	0.0958341
ADK	0.25711069	0.2835519
ADM	0.03976288	0.9165646
ADM2	0.08745804	0.8356033
ADM5	-0.08023372	0.8452302
ADNP	0.02883539	0.9124423
ADNP2	0.03696689	0.9251644
ADO	0.19868746	0.5133626
ADORA1	-0.77886387	0.0090663
ADORA2A-AS1	-0.2469039	0.3212799
ADORA2B	-0.58840736	0.2326656
ADORA3	0.12545619	0.7342042
ADPGK	-0.87385921	0.000064
ADPRH	-0.32883672	0.4080372
ADPRHL1	0.21116447	0.1819422
ADPRHL2	0.25186681	0.267209
ADPRM	-0.09495993	0.6344194
ADRA1A	-0.21648726	0.1770536
ADRA1B	0.0059968	0.9844253
ADRA1D	-0.31398377	0.1201306
ADRA2A	-0.00679674	0.9846899
ADRA2B	-0.00237837	0.9925949
ADRA2C	0.19242225	0.737724
ADRB1	-0.82018247	0.0055719
ADRB2	0.44145298	0.4118775
ADRB3	-0.32154637	0.4933055
ADRM1	0.41829662	0.0347703
ADSL	0.13955793	0.5865452
ADSS	-0.08998032	0.5397627
ADSSL1	0.5010826	0.2536959
ADTRP	-0.05659594	0.7648515
AEBP1	0.20678262	0.6644989
AEBP2	0.0627122	0.8549063
AEN	0.52597514	0.1140215
AES	0.66390915	0.040285
AFAP1	0.09987073	0.5393301
AFAP1-AS1	-0.09756551	0.637671
AFAP1L1	0.18656135	0.4430678
AFAP1L2	0.06552734	0.6286951
AFDN	-0.70621911	0.030238
AFDN-AS1	0.35524945	0.0726102
AFF1	-1.94529248	0.0018019
AFF2	-0.29101357	0.1328233
AFF3	1.06586361	0.1190042
AFF4	-1.32290597	0.0043624
AFG3L1P	0.88344174	0.0019153
AFG3L2	0.29330301	0.1231241
AFM	-0.13890905	0.2861269
AFMID	0.17603884	0.5023976
AFP	-0.02294193	0.9358594
AFTPH	0.34391337	0.0731124
AGA	-0.07312264	0.7723576
AGAP1	0.27352467	0.3998195
AGAP11	-0.08278842	0.7427141
AGAP2	-0.17712579	0.4080119
AGAP2-AS1	0.04102731	0.859837
AGAP3	0.37836752	0.0712965
AGAP4	0.67023549	0.0049653
AGAP6	-0.21745605	0.2586409
AGAP9	-0.12477684	0.5589901
AGBL1	-0.03266826	0.8640709
AGBL2	0.07111721	0.7377647
AGBL3	-0.06967588	0.7720547
AGBL4	0.07672133	0.6060901
AGBL5	0.36746702	0.0857817
AGER	0.15572863	0.438714
AGFG1	-1.11198358	0.0070658
AGFG2	0.23720093	0.1203997
AGGF1	-0.66819854	0.0175584
AGK	-0.26813536	0.2585463
AGL	-0.36491622	0.6119601
AGMAT	0.26507349	0.0840333
AGO1	0.47615194	0.0148671
AGO2	-2.04315786	0.0001982
AGO3	-1.27636384	0.0004604
AGO4	0.1244587	0.4166354
AGPAT1	-0.03106546	0.9186153
AGPAT2	0.14465618	0.5573787
AGPAT3	0.88433733	0.0672906
AGPAT4	-0.34482818	0.1197213
AGPAT4-IT1	0.33701172	0.4053895
AGPAT5	-0.36333284	0.656552
AGPS	0.51268196	0.0104187
AGR2	-0.56909895	0.1762212
AGR3	-0.08987689	0.6012731
AGRN	-0.26679124	0.4081073
AGRP	0.11719079	0.5041272
AGT	0.11816616	0.5774357
AGTPBP1	0.18291798	0.4845056
AGTR1	-0.42492991	0.235041
AGTR2	-0.40842934	0.0329768
AGTRAP	0.20322771	0.5526281
AGXT	-0.10291772	0.7398528
AGXT2	-0.30639233	0.2257962
AHCTF1	0.18213482	0.3660039
AHCY	0.61257181	0.0584357
AHCYL1	0.61723042	0.0012747
AHCYL2	-0.22128115	0.3335103
AHDC1	0.15077548	0.4539392
AHI1	0.46368089	0.0240027
AHNAK	-0.87001505	0.0065847
AHNAK2	0.063908	0.7979951
AHR	0.21440049	0.6289794
AHRR	0.57834057	0.0128667
AHSA1	-0.08853464	0.6612571
AHSA2	0.46968297	0.1464146
AHSG	-0.0854229	0.6911092
AHSP	-0.28944759	0.3746345
AICDA	1.40565089	0.0026082
AIDA	0.32575226	0.4048341
AIF1	0.31176778	0.1932051
AIF1L	-0.01985064	0.9797754
AIFM1	-0.04303523	0.8998285
AIFM2	0.10040636	0.8043822
AIFM3	0.14526658	0.5190549
AIG1	0.58596211	0.0680828
AIM1	-0.47353993	0.1323674
AIM1L	0.43807696	0.394497
AIM2	0.03706384	0.8919666
AIMP1	0.1857604	0.3526646
AIMP2	0.21231146	0.240948
AIP	0.17892199	0.3601581
AIPL1	-0.05524826	0.8175775
AIRE	-0.06240792	0.7764929
AJAP1	-0.12792215	0.5653976
AJUBA	-0.42086658	0.3063285
AK1	0.23718261	0.5030499
AK2	0.97638936	0.000296
AK3	0.49260407	0.0374795
AK5	-0.14759931	0.5377615
AK6	-0.03983326	0.8660215
AK7	-0.26211982	0.3187856
AK8	-0.19063892	0.4358658
AK9	0.45806899	0.0814688
AKAIN1	-0.14625091	0.3360547
AKAP1	0.56713276	0.0445958
AKAP10	0.52371101	0.13235
AKAP11	0.49510069	0.0582302
AKAP12	0.13521404	0.8359004
AKAP13	-1.46530961	0.0005631
AKAP14	0.03832474	0.8410369
AKAP17A	0.33094721	0.1198419
AKAP3	0.12308331	0.5901391
AKAP4	-0.11361093	0.7306199
AKAP5	-0.17189984	0.3670223
AKAP6	-0.21007695	0.227064
AKAP7	0.64887514	0.004237
AKAP8	0.56322241	0.0333156
AKAP8L	-0.58371086	0.0257609
AKAP9	0.89751968	0.0041544
AKIP1	0.7925105	0.0077711
AKIRIN1	0.42331676	0.240561
AKIRIN2	-0.65679884	0.0043624
AKNA	0.02139168	0.9403311
AKNAD1	-0.1320694	0.4963882
AKR1A1	-0.08126845	0.8045384
AKR1B1	0.14245529	0.5390803
AKR1B10	0.0899168	0.8127354
AKR1C1	-0.26075821	0.23412
AKR1C3	0.48510565	0.3136607
AKR1C4	0.08060889	0.6623683
AKR1C6P	-0.28423624	0.1162634
AKR1D1	-0.07532101	0.6803433
AKR1E2	-0.23385868	0.2914159
AKR7A2	0.36538935	0.0970209
AKR7A3	0.04109325	0.8868419
AKT1	0.03985338	0.9308722
AKT1S1	0.09755316	0.7332208
AKT2	0.78194719	0.0021742
AKT3	-0.89057397	0.0054127
AKTIP	-0.36742182	0.341579
ALAD	-0.26549187	0.3469119
ALAS1	-0.06779595	0.8861183
ALAS2	0.06661473	0.7808985
ALB	-0.09825454	0.6707908
ALCAM	-0.39736982	0.347141
ALDH16A1	0.02342052	0.9250545
ALDH18A1	-0.32094155	0.2233487
ALDH1A1	-0.59080847	0.7674412
ALDH1A2	-0.2403337	0.5364927
ALDH1A3	0.91624756	0.0209675
ALDH1B1	-0.46489692	0.0877288
ALDH1L1	0.07437315	0.7560892
ALDH1L1-AS2	0.17401914	0.4334563
ALDH1L2	-0.12650566	0.5227841
ALDH2	-0.30648117	0.4530976
ALDH3A1	-0.18488846	0.392872
ALDH3A2	-0.2639924	0.2612377
ALDH3B1	0.24196176	0.2743011
ALDH3B2	0.71727942	0.0667605
ALDH4A1	0.22624054	0.5570754
ALDH5A1	0.42409753	0.3307635
ALDH6A1	0.22547941	0.2321342
ALDH7A1	0.38507547	0.3779598
ALDH8A1	-0.22794556	0.1480954
ALDH9A1	0.47820425	0.0954515
ALDOA	0.42147913	0.1432389
ALDOAP2	-0.03681421	0.9102602
ALDOB	-0.18304681	0.2049893
ALDOC	0.12963133	0.7498121
ALG1	0.23255329	0.2357144
ALG10	0.15396805	0.4638323
ALG12	-0.01726742	0.9560435
ALG13	-0.8003991	0.0704405
ALG14	0.1112299	0.7398528
ALG2	-0.16879911	0.5154975
ALG3	-0.34637546	0.0681913
ALG5	-0.26401543	0.3544883
ALG6	-0.05915146	0.8213846
ALG8	0.14827194	0.4311226
ALG9	0.12647581	0.6193548
ALK	-0.06773334	0.6980903
ALKBH1	-0.25955133	0.1752946
ALKBH2	-0.08362684	0.6942992
ALKBH3	0.01643285	0.9671438
ALKBH3-AS1	-0.05461759	0.8072126
ALKBH4	-0.1149838	0.630634
ALKBH5	-0.56891035	0.0409532
ALKBH6	-0.11284637	0.6002245
ALKBH7	0.07255616	0.7241333
ALKBH8	-0.32526789	0.1886744
ALLC	-0.01584897	0.9463647
ALMS1	0.75724945	0.0005351
ALMS1-IT1	0.03138599	0.9097691
ALMS1P1	-0.05619516	0.856009
ALOX12	-0.07750587	0.7404462
ALOX12-AS1	-0.1040988	0.7120925
ALOX12B	-0.17540817	0.4057778
ALOX12P2	-0.17126017	0.5687162
ALOX15	0.08217077	0.7049302
ALOX15B	0.04077992	0.8865578
ALOX5	0.1979754	0.3892579
ALOX5AP	-0.33871061	0.6339287
ALOXE3	0.1866662	0.3198525
ALPI	-0.10264301	0.7429766
ALPK1	1.01665124	0.0016146
ALPK2	-0.14604645	0.3894023
ALPK3	0.44675164	0.1862019
ALPL	-0.15190267	0.2502704
ALPP	1.07085114	0.1973924
ALPPL2	0.21785908	0.314763
ALS2	-0.29131479	0.1888752
ALS2CL	0.24975219	0.3132671
ALS2CR11	-0.24393697	0.1074006
ALS2CR12	-0.29137616	0.093361
ALX1	-0.026052	0.8938904
ALX3	-0.03365574	0.887274
ALX4	0.14184012	0.5164162
ALYREF	-0.16203049	0.8404612
AMACR	-0.18581324	0.2006866
AMBN	-0.05542712	0.7938615
AMBP	-0.16321044	0.4784397
AMBRA1	-0.40785117	0.0438377
AMD1	0.48240433	0.1598819
AMDHD1	-0.0907691	0.6716377
AMELX	0.01788621	0.9336948
AMELY	0.08896294	0.7375397
AMER1	-0.26994433	0.0520325
AMER2	0.33475604	0.1744108
AMER3	-0.10593347	0.6518798
AMFR	-1.40927734	0.0600183
AMHR2	-0.01041908	0.9665156
AMIGO1	0.84362186	0.0028873
AMIGO2	-0.05915432	0.934225
AMMECR1	0.88201637	0.011236
AMMECR1L	0.01043091	0.9741699
AMN	0.53294306	0.0055793
AMN1	0.16215344	0.6550121
AMOT	0.07538108	0.8454143
AMOTL1	-0.96579276	0.0079312
AMOTL2	0.77441655	0.1074006
AMPD1	-0.04984503	0.8400978
AMPD2	0.40453873	0.1145956
AMPD3	0.30263653	0.2492784
AMPH	0.112324	0.6662248
AMT	-0.0836154	0.7808765
AMZ1	-0.08312435	0.7478551
AMZ2	0.24023561	0.2804792
AMZ2P1	0.25609198	0.4111912
ANAPC10	0.23395481	0.2982893
ANAPC11	-0.13422666	0.5137303
ANAPC13	-0.11181064	0.4752076
ANAPC15	0.30356216	0.2390562
ANAPC16	0.8803812	0.0002093
ANAPC2	0.31479044	0.1229251
ANAPC4	-0.29766121	0.3613351
ANAPC5	-1.31905443	0.0047957
ANAPC7	-0.06190305	0.9238833
ANG	-0.37062765	0.5696166
ANGEL1	0.26678238	0.109854
ANGEL2	-0.39618025	0.1725482
ANGPT1	-0.62599612	0.0269484
ANGPT2	-1.75187418	0.1998769
ANGPT4	0.09245362	0.7079521
ANGPTL1	-1.40183812	0.0013809
ANGPTL2	-0.22819838	0.2190914
ANGPTL3	-0.19820814	0.29068
ANGPTL4	0.25467063	0.5273733
ANGPTL6	-0.42877551	0.1784825
ANGPTL7	-0.07039609	0.723407
ANGPTL8	0.02997807	0.8973528
ANHX	0.29384794	0.1645626
ANK1	0.18559732	0.2592164
ANK2	0.19948091	0.3486053
ANK3	0.61938305	0.0105617
ANKAR	0.06500054	0.7627873
ANKDD1A	0.30438785	0.262982
ANKEF1	0.10051069	0.5888792
ANKFN1	0.09823609	0.9049803
ANKFY1	-0.53517713	0.0066199
ANKH	-0.74755191	0.001979
ANKHD1	0.49367118	0.0267846
ANKIB1	-0.28629618	0.1548468
ANKLE1	0.10329032	0.6145087
ANKLE2	-0.20102849	0.4276906
ANKMY1	0.28634367	0.0842076
ANKMY2	0.3116108	0.389336
ANKRA2	0.0925396	0.7682126
ANKRD1	-0.27416263	0.1338452
ANKRD10	0.25865212	0.0741252
ANKRD10-IT1	1.46239232	0.0006517
ANKRD11	-0.40855446	0.0867711
ANKRD12	-0.73394127	0.0102896
ANKRD13A	0.48938942	0.0103587
ANKRD13B	-0.21038094	0.3053016
ANKRD13C	-0.67226381	0.0087985
ANKRD13D	0.33758573	0.2450352
ANKRD16	0.22959666	0.3242912
ANKRD17	-0.74726315	0.0005353
ANKRD18A	-0.21137433	0.173644
ANKRD18B	0.13013129	0.4485288
ANKRD19P	-0.02437096	0.9362869
ANKRD2	-0.04570313	0.8458762
ANKRD20A11P	0.22443876	0.4646313
ANKRD20A12P	0.08545928	0.5699478
ANKRD20A5P	1.31240319	0.0159314
ANKRD22	-0.10355282	0.5881345
ANKRD23	0.01493216	0.9534968
ANKRD24	-0.03983488	0.8660353
ANKRD26	0.36714596	0.1500135
ANKRD26P3	-0.09089522	0.5429547
ANKRD27	-0.07955484	0.868519
ANKRD28	0.33122129	0.23552
ANKRD29	0.02103477	0.9325866
ANKRD30A	-0.09747505	0.6134065
ANKRD30B	0.05492201	0.7649858
ANKRD30BP2	0.0181179	0.9633682
ANKRD30BP3	-0.16648831	0.2688133
ANKRD31	0.04215179	0.7972942
ANKRD33	1.20889311	0.0894338
ANKRD33B	-0.68636733	0.0013991
ANKRD34A	-0.17004161	0.3593086
ANKRD34C	0.02846227	0.9026006
ANKRD35	0.04855638	0.8813922
ANKRD36	-0.22765875	0.2013618
ANKRD36B	-0.70019589	0.202355
ANKRD36BP2	-0.12645268	0.4290651
ANKRD36C	-0.13537703	0.4004813
ANKRD37	0.78022175	0.2720943
ANKRD39	0.00244274	0.9931434
ANKRD40	0.29346151	0.1555279
ANKRD42	-0.30638591	0.3415868
ANKRD44	0.73846913	0.0034659
ANKRD44-IT1	0.32004852	0.0687205
ANKRD45	-0.09733238	0.6173471
ANKRD46	0.3083212	0.3107873
ANKRD49	-0.20506611	0.327977
ANKRD50	-0.09046712	0.7189834
