Gene	MayorLynn2011.FC	MayorLynn2011.p
NUDT14	1.97	0.05
CBX4	1.94	0.05
KLHL5	1.26	0.05
APEX2	1.3	0.05
OPRK1	2.06	0.05
TFDP2	1.74	0.05
TRIM45	1.35	0.05
PRR5	1.37	0.05
PEG10	1.9	0.05
COLEC12	1.4	0.05
C7ORF20	1.35	0.05
PRSS16	1.41	0.05
CPT2	1.7	0.05
MAN1C1	0.85	0.05
C3AR1	1.46	0.05
FDX1	1.87	0.05
SERINC2	2.07	0.05
ACPP	1.91	0.05
SPPL2B	1.63	0.05
FCGR1A	1.14	0.05
LTBP3	1.64	0.05
IL8RB	1.12	0.05
MORN3	0.91	0.05
NCF1C	1.69	0.05
RAB1B	1.35	0.05
TINAGL1	1.49	0.05
EGFL8	1.11	0.05
LOC54103	0.85	0.05
DUSP9	1.91	0.05
F13A1	1.77	0.05
ALG1	1.39	0.05
SH3BP1	1.6	0.05
CYBB	2.05	0.05
GPSM3	1.44	0.05
GPAA1	1.37	0.05
S100A9	1.24	0.05
LGR5	1.55	0.05
FLJ14466	1.24	0.05
AP2A1	1.53	0.05
LTC4S	1.72	0.05
FLJ20294	1.39	0.05
LOC340602	1.32	0.05
BCAT2	0.78	0.06
EFHD1	0.86	0.06
RBM23	1.02	0.06
ANXA8L1	2.94	0.06
BARX2	1.49	0.06
ABCF3	1.07	0.06
AKAP7	1.38	0.06
BANP	1.1	0.06
TWIST1	1.08	0.06
UCKL1	1.22	0.06
LOC440926	1.86	0.06
C1ORF59	1.46	0.06
SH3TC2	2.33	0.06
TRPC4AP	1.38	0.06
CTTNBP2NL	1.65	0.06
KIF17	0.94	0.06
PPAPDC2	1.73	0.06
MAPK9	1.34	0.06
YPEL3	1.41	0.06
GPR175	1.12	0.06
UBE2A	1.45	0.06
CSRP2	1.52	0.06
PITX2	2.02	0.06
USP21	1.33	0.06
ANKFN1	1.68	0.06
SLC7A2	1.22	0.06
TIGD2	1.82	0.06
ADCK1	1.64	0.06
PERLD1	0.94	0.06
LOC652968	1.38	0.06
VTN	2.49	0.06
OR7E91P	1.52	0.06
CYP19A1	1.09	0.06
LGMN	1.12	0.06
COPE	1.21	0.06
MMD	1.17	0.06
SF3B4	1.29	0.06
TUSC2	1.36	0.06
PKP3	1.62	0.06
SCAND1	1.55	0.06
RAB15	1.33	0.06
MSX2	1.27	0.06
GPR172B	1.41	0.06
ZNF341	1.45	0.06
GATAD2B	1.21	0.06
GALNT17	2.01	0.06
DKFZP564J102	2.67	0.06
FLJ22386	1.32	0.06
FLJ10178	1.63	0.06
APIP	1.99	0.06
MARK2	1.28	0.06
STK40	1.2	0.06
RPS6KA5	1.46	0.06
CMAH	1.71	0.06
IGF2BP3	1.21	0.06
HSPC049	1.37	0.06
CC2D1A	1.49	0.06
ENSA	1.23	0.06
MORC4	1.42	0.06
LOC150223	1.33	0.06
STEAP4	0.98	0.06
GPSN2	1.07	0.06
EP300	1.36	0.06
NFRKB	1.55	0.06
MST4	1.29	0.06
P11	0.97	0.06
ATP6V0C	1.2	0.06
PPP1R3F	1.44	0.06
DOCK8	1.72	0.06
OR2W5	1.13	0.06
LYPLA2	1.22	0.06
COX4NB	1.35	0.06
ST3GAL4	1.3	0.06
CDH15	1	0.06
MCOLN2	2.26	0.06
HPGD	1.89	0.06
KRT23	1.04	0.06
HCK	1.51	0.06
ACOT4	1.55	0.06
TYROBP	1.39	0.06
CLPTM1	1.11	0.06
STXBP2	1.28	0.06
MAN1A2	1.74	0.06
LOC284361	1.67	0.06
RAB4B	1.2	0.06
C1ORF190	1.69	0.06
H2AFX	1.25	0.06
GYLTL1B	1.93	0.06
BPGM	1.33	0.06
AHR	1.07	0.06
HLF	1.73	0.06
CLDN7	1.38	0.06
MAP7D2	1.96	0.06
GSTA3	2.04	0.06
SPSB2	1.31	0.06
LOC90379	1.44	0.06
SPI1	1.51	0.06
SYNGR3	1.08	0.06
TXK	1.42	0.06
HSD11B2	1.59	0.06
FLT4	0.81	0.06
IL13RA2	0.34	0.07
CAPN11	0.68	0.07
PIP5KL1	0.65	0.07
NOVA2	1	0.07
MLLT7	1.01	0.07
C21ORF91	1.15	0.07
DHX29	1.84	0.07
TOP1P2	1.53	0.07
ZDHHC20	1.06	0.07
PTPN9	1.33	0.07
C17ORF55	0.9	0.07
RHBDD3	1.43	0.07
LOC441150	1.74	0.07
HIATL1	1.56	0.07
IDH1	1.5	0.07
SESN2	1.99	0.07
UVRAG	1.89	0.07
PLCXD1	1.22	0.07
DPM2	1.14	0.07
KIAA1737	1.33	0.07
SSBP3	1.78	0.07
CBL	1.61	0.07
INOC1	1.41	0.07
SIRT2	1.52	0.07
KIAA1729	1.48	0.07
CABLES2	1.71	0.07
PSMD3	1.2	0.07
CNKSR1	1.41	0.07
MARVELD2	1.37	0.07
PRCC	1.22	0.07
FLJ20273	1.65	0.07
TBC1D22A	1.1	0.07
NTN4	3.1	0.07
ERF	1.52	0.07
FAM49A	1.6	0.07
VGLL1	1.07	0.07
HLRC1	1.71	0.07
C6ORF120	2.81	0.07
EML4	1.68	0.07
AAMP	1.35	0.07
ACD	1.16	0.07
ZNF580	1.35	0.07
MPDU1	1.02	0.07
DUSP16	1.22	0.07
TRIM11	1.23	0.07
TMEM40	1.22	0.07
D15WSU75E	1.26	0.07
ITGB2	1.21	0.07
PRSS12	1.47	0.07
GLYCTK	1.31	0.07
C9ORF66	1.93	0.07
NUDT16L1	1.09	0.07
RELA	1.9	0.07
VEGFC	0.69	0.07
PLEKHG1	1.29	0.07
SPTLC3	0.86	0.07
MXD3	1.86	0.07
RARRES2	1.52	0.07
CCDC47	1.45	0.07
MAEA	1.39	0.07
NR1H2	1.22	0.07
RAB5C	1.23	0.07
C1ORF166	1.4	0.07
GPR108	1.15	0.07
ABHD12	1.11	0.07
SLC2A9	1.15	0.07
PAGE4	1.24	0.07
TUSC1	1.29	0.07
LOC653375	1.73	0.07
PLEK	1.54	0.07
PXMP2	1.49	0.07
BCL9L	1.73	0.07
ZDHHC12	1.5	0.07
TNKS1BP1	1.2	0.07
LOC407835	1.38	0.07
ADRM1	1.22	0.07
PDE3B	1.27	0.07
ABCB8	1.25	0.07
OACT5	1.29	0.07
MVK	1.41	0.07
RERG	1.64	0.07
FBS1	1.32	0.07
TFPI2	1.2	0.07
KIAA1920	1.67	0.07
TSGA14	1.69	0.07
TBXAS1	1.5	0.07
ATG4B	1.29	0.07
MGC20255	1.44	0.07
BEX2	1.5	0.07
BMP5	1.78	0.07
C1ORF78	1.26	0.07
PEX6	1.69	0.07
CD163	1.44	0.07
ARHGAP8	1.49	0.07
HS6ST2	1.9	0.07
SERINC5	1.12	0.07
POR	1.1	0.07
FCER1G	1.29	0.07
ECE2	1.32	0.07
SCNN1B	1.11	0.07
MED25	1.37	0.07
CYTL1	1.39	0.07
TJP3	1.29	0.07
PSG7	0.67	0.07
FAM100A	1.44	0.07
CLC	0.44	0.08
TNFSF12	0.82	0.08
ANXA4	0.64	0.08
SIPA1L3	0.7	0.08
ECSIT	0.82	0.08
LOC128977	0.97	0.08
CDK2AP2	1.02	0.08
DOLPP1	0.98	0.08
PSG6	0.87	0.08
ZFYVE27	1.04	0.08
SYNPO2L	3.39	0.08
PELI1	1.04	0.08
EXOC2	1.24	0.08
SDC1	0.86	0.08
TOP3B	1.07	0.08
DRG2	1.23	0.08
PPT2	0.96	0.08
ARMC6	1.26	0.08
MDS028	1.22	0.08
ARPC1B	1.24	0.08
EPB41L3	1.3	0.08
MGC2803	1.13	0.08
PIGO	1.04	0.08
CLPX	1.35	0.08
VPS25	1.18	0.08
HCAP-H2	1.22	0.08
TOE1	1.36	0.08
IMPA2	1.48	0.08
ERAL1	1.3	0.08
POMT1	1.46	0.08
SPRY4	1.12	0.08
VPS52	1.25	0.08
PPARD	1.17	0.08
PTPN3	1.71	0.08
C13ORF23	1.25	0.08
PDZK3	1.35	0.08
BCL2L12	1.13	0.08
FLJ22222	1.71	0.08
GGCX	1.36	0.08
SLC20A1	1.54	0.08
FUT8	1.55	0.08
HRIHFB2122	1.36	0.08
RNF123	1.06	0.08
ACSL4	1.5	0.08
PLD2	1.61	0.08
KIAA1522	1.48	0.08
CTSF	1.98	0.08
GCHFR	1.32	0.08
RALGPS1	1.68	0.08
CDC34	1.45	0.08
IGSF3	0.99	0.08
IDI1	1.8	0.08
SLC25A5	1.18	0.08
PNKP	1.5	0.08
TMEM15	1.21	0.08
KCTD10	2.6	0.08
TACC2	1.2	0.08
LRRC8E	1.45	0.08
MTMR14	1.35	0.08
TSC22D4	1.37	0.08
FBXO46	1.38	0.08
CEP68	1.58	0.08
NOC4L	1.25	0.08
CRIP2	0.87	0.08
PPP1CA	1.45	0.08
AP1S1	1.31	0.08
SH2B1	1.69	0.08
C7ORF21	1.25	0.08
PLAC9	2.03	0.08
TSTA3	1.41	0.08
FTS	1.43	0.08
MTM1	1.55	0.08
DHX9	1.37	0.08
MAPK15	1.19	0.08
CHN1	1.67	0.08
ANK3	1.28	0.08
KIAA1467	1.57	0.08
IGSF8	0.87	0.08
STK17A	1.19	0.08
FOLR1	1.22	0.08
TMEM125	1.6	0.08
RPS26	1.28	0.08
SREBF1	1.26	0.08
CLEC1A	1.34	0.08
BAT4	1.4	0.08
TBC1D17	1.02	0.08
COMTD1	1.22	0.08
MLF2	1.42	0.08
SEMA3B	1.25	0.08
KIAA0404	1.43	0.08
MAGEA10	0.99	0.08
CEBPA	1.13	0.08
CD53	1.26	0.08
LST1	1.54	0.08
ICK	0.99	0.08
VSIG4	1.37	0.08
SMARCB1	1.03	0.08
TSPAN7	1.34	0.08
FAM109B	1.54	0.08
LHX2	1.31	0.08
RIN3	1.38	0.08
LMO2	1.43	0.08
FOLR2	1.32	0.08
AIM1	1.5	0.08
ACADS	1.3	0.08
HOP	1.36	0.08
FAM101B	1.99	0.08
NPDC1	1.01	0.08
ABCD1	1.21	0.08
SEMA3F	1.33	0.08
FLJ12684	1.36	0.08
PLTP	1.67	0.08
HERV-FRD	1.16	0.08
SLC6A4	1.34	0.08
TRIOBP	1.3	0.08
LILRB4	1.52	0.08
EPHX1	1.41	0.08
TLR7	1.43	0.08
LOC441282	1.63	0.08
GPR34	1.62	0.08
SIPA1L1	0.71	0.09
TNKS	0.81	0.09
MASS1	0.58	0.09
SNORD48	0.82	0.09
MFSD8	1.14	0.09
PRC1	0.96	0.09
CHAF1A	1.43	0.09
FLJ12788	1.06	0.09
SMOC1	1.05	0.09
FCGR2B	0.79	0.09
CNNM4	0.97	0.09
IRF3	1.11	0.09
DPP4	1.8	0.09
SAFB2	1.13	0.09
RRAS2	1.47	0.09
FLJ22662	1.22	0.09
PPAP2B	1.59	0.09
RNF5P1	1.14	0.09
PSME3	1.28	0.09
JARID2	1.48	0.09
RBM4	1.19	0.09
GPS2	1.18	0.09
HDAC3	1.27	0.09
C17ORF81	1.61	0.09
SNX24	1.95	0.09
MAP2K4	1.48	0.09
CHCHD6	1.85	0.09
MEN1	1.12	0.09
KIAA0286	1.51	0.09
XKRX	0.61	0.09
NUP98	1.22	0.09
BAT5	1.17	0.09
TUFT1	1.26	0.09
USP6NL	1.39	0.09
FBXL6	1.35	0.09
AKR7A3	1.32	0.09
MRPS34	1.22	0.09
PCNA	1.23	0.09
NDUFA10	1.32	0.09
CTSL	1.43	0.09
MDK	2.04	0.09
CCNA2	1.02	0.09
CCDC69	1.12	0.09
SFXN2	1.5	0.09
ZMYND15	0.88	0.09
CSGLCA-T	1.66	0.09
C10ORF76	1.08	0.09
PTPLAD1	1.38	0.09
USP13	1.65	0.09
EPN3	1.88	0.09
GH2	0.92	0.09
COQ9	1.21	0.09
TMEM4	1.3	0.09
RHBDD2	0.92	0.09
FAIM3	1.12	0.09
NUDT22	1.44	0.09
CRAT	0.82	0.09
RALY	1.07	0.09
ESRRG	1.03	0.09
TBL2	1.52	0.09
PTP4A3	1.76	0.09
FLJ20366	2.15	0.09
NSUN5B	1.4	0.09
PIGH	1.35	0.09
SMAD7	1.27	0.09
LIMK2	1.37	0.09
NIN	1.26	0.09
CHD2	1.21	0.09
ACO2	1.3	0.09
SP2	1.07	0.09
ZNF414	1.6	0.09
TLE3	1.07	0.09
GSS	1.22	0.09
GRHL1	1.27	0.09
PDIA5	1.35	0.09
ALDH3B2	1.1	0.09
TMEM29	1.11	0.09
TMEM39B	1.22	0.09
BCL2	1.33	0.09
COTL1	1.55	0.09
JM11	1.36	0.09
BACE2	1.57	0.09
CORO7	1.45	0.09
P2RX4	1.23	0.09
SVEP1	1.2	0.09
CSRP1	1.5	0.09
MMP11	0.97	0.09
HYLS1	1.58	0.09
ARHGEF11	1.63	0.09
OATL1	1.18	0.09
C17ORF80	1.61	0.09
MRPL28	1.43	0.09
MRPL4	1.52	0.09
TACC3	1.35	0.09
AFF1	1.43	0.09
TYMS	1.05	0.09
RAB38	1.59	0.09
LAMP3	0.89	0.09
MGC13057	1.55	0.09
CDYL2	1.42	0.09
METRNL	1.2	0.09
DYSF	1.01	0.09
LYPLA3	1.36	0.09
C1ORF172	1.23	0.09
NRK	1.83	0.09
KYNU	1.08	0.09
C20ORF14	1.35	0.09
CXORF56	1.41	0.09
MEOX2	1.11	0.09
CORO1B	1.21	0.09
GRB7	1.47	0.09
POLE	1.17	0.09
GPR56	1.24	0.09
ADORA3	1.61	0.09
TK1	1.01	0.09
MGAT4A	1.69	0.09
RPUSD1	1.47	0.09
JOSD2	1.26	0.09
PRMT6	1.48	0.09
FXR2	1.3	0.09
ERVWE1	1.33	0.09
BHLHB3	1.43	0.09
DPEP2	1.26	0.09
MPP1	1.37	0.09
SLC4A2	1.26	0.09
RAB36	1.65	0.09
G6PC3	1.34	0.09
LOC653133	1.34	0.09
GRTP1	1.45	0.09
PVRL1	0.87	0.09
AMDHD2	1.54	0.09
B3GNT1	2.58	0.09
XDH	2.38	0.09
ZNF31	0.86	0.09
ADRB1	1.76	0.09
ANXA6	1.31	0.09
HES1	1.28	0.09
MS4A6A	1.43	0.09
MGC99813	1.57	0.09
CA10	0.81	0.09
ST14	1.28	0.09
MSC	1.79	0.09
LRP16	1.57	0.09
HPSE	1.14	0.09
RPL14	0.64	0.1
AACS	0.78	0.1
NFE2	0.81	0.1
LIN10	0.95	0.1
CSH1	0.89	0.1
DCPS	0.94	0.1
APBA3	0.92	0.1
FRAT2	1.01	0.1
HSD3B1	0.92	0.1
PLEKHA1	1	0.1
FAM13A1	1.04	0.1
ACOT1	1.23	0.1
GBA	0.81	0.1
STX11	1.01	0.1
LOC205251	1.96	0.1
BTBD10	1.38	0.1
NUBP1	1.13	0.1
DLD	1.97	0.1
TMEM16H	1.98	0.1
EHMT2	1	0.1
STMN1	1.09	0.1
DIP2B	1.13	0.1
CLN6	1.57	0.1
ALG6	1.27	0.1
ARPC4	1.18	0.1
PSG4	0.88	0.1
TESK1	1.36	0.1
FLVCR	1.55	0.1
FLAD1	1.12	0.1
CDK5	1.81	0.1
EIF3S5	1.26	0.1
FAM46A	1.02	0.1
FLJ20625	1.04	0.1
LOC644096	1.41	0.1
C7ORF26	1.25	0.1
ADIPOR1	1.22	0.1
COMMD4	1.26	0.1
AP3M1	1.69	0.1
ALDH5A1	2.46	0.1
MRPL12	1.23	0.1
RNF5	1.27	0.1
ING2	1.96	0.1
ACOT8	0.97	0.1
SP6	1.48	0.1
FOXF2	1.17	0.1
TMEM23	1.45	0.1
EXPH5	0.99	0.1
PAK1	1	0.1
MGAT4B	1.59	0.1
SEMG1	1.4	0.1
BZW2	1.12	0.1
PB1	1.38	0.1
DNAJC16	1.4	0.1
C11ORF51	1.22	0.1
KIAA0746	1.82	0.1
BP75	1.18	0.1
CD274	0.32	0.1
THSD4	1.44	0.1
FAM3A	1.12	0.1
C7ORF24	1.85	0.1
C8ORF38	1.37	0.1
WWC1	1.5	0.1
SLC35B4	2.41	0.1
LIN9	1.74	0.1
MYLIP	1.11	0.1
GBL	1.59	0.1
AHCY	0.88	0.1
CYB561D2	1.14	0.1
MIA3	1.29	0.1
IQGAP2	1.17	0.1
DOCK11	1.62	0.1
B3GNT3	2.05	0.1
TOP1	1.39	0.1
MGC33648	1.54	0.1
LOC348262	1.42	0.1
BCL3	0.89	0.1
AKR1B1	1.25	0.1
DULLARD	1.24	0.1
C9ORF23	1.18	0.1
RPS6KA4	1.55	0.1
OLFML3	2.2	0.1
AP2M1	1.18	0.1
RNF26	1.35	0.1
RFP	1.4	0.1
C1QTNF1	1.41	0.1
CDCA3	0.98	0.1
CD200	1.23	0.1
ATN1	1.29	0.1
STIM1	1.49	0.1
RNF128	1.74	0.1
MCCC1	1.85	0.1
FKBP8	1.21	0.1
FPR1	1.1	0.1
CHMP6	1.44	0.1
LSR	1.39	0.1
PYCARD	1.29	0.1
CRTC2	1.28	0.1
KIAA1193	1.61	0.1
FLJ11017	1.34	0.1
SLC9A9	1.49	0.1
PIR	1.59	0.1
BTG2	1.52	0.1
TNFSF13B	1.61	0.1
UQCRC1	1.23	0.1
YWHAE	1.2	0.1
PJA1	0.96	0.1
INSIG1	1.35	0.1
OPRS1	1.22	0.1
MS4A4A	1.57	0.1
ELMO1	1.19	0.1
SLC5A6	0.94	0.1
HIST3H2A	1.51	0.1
FLJ45909	1.21	0.1
C22ORF16	1	0.1
SNX8	1.56	0.1
SYK	1.13	0.1
PSMC4	1.1	0.1
STS	0.99	0.1
LOC113179	1.09	0.1
PSG2	1.11	0.1
GIPC1	1.27	0.1
C20ORF67	1.21	0.1
MOSC2	1.71	0.1
TESC	1.42	0.1
APOC1	1.34	0.1
C1ORF53	2.24	0.1
EPHB4	1.71	0.1
CXORF9	1.35	0.1
BCORL1	1.14	0.1
NPL	1.61	0.1
FURIN	1.21	0.1
TRIM28	1.27	0.1
PARVG	1.07	0.1
PGF	1.13	0.1
CRB3	1.22	0.1
GNGT1	1.68	0.1
OVOL1	1.13	0.1
TREML2	3.02	0.1
TUSC3	1.2	0.1
LOC57228	1.45	0.1
ENTPD1	1.09	0.1
SELENBP1	1.64	0.1
UCP2	1.37	0.1
GUCA2A	0.56	0.11
TMCO6	0.88	0.11
HACE1	1.04	0.11
STAT5B	0.9	0.11
RANBP3	1.07	0.11
UFD1L	1.22	0.11
NAGK	1.1	0.11
CSF3R	0.83	0.11
COMMD7	1.1	0.11
MED19	1.08	0.11
NUP153	1.15	0.11
MAP2K5	1.24	0.11
RNF10	1.45	0.11
ATP6V1F	1.07	0.11
THAP11	1.11	0.11
DHPS	1.02	0.11
PHF16	1.23	0.11
ATP6V0D1	0.98	0.11
CARF	1.26	0.11
BCL2L1	1.05	0.11
IDH3G	1.11	0.11
ATPAF2	1.24	0.11
POLR2B	1.43	0.11
WDR8	1.33	0.11
TSC2	1.31	0.11
TEX10	1.39	0.11
ING3	1.37	0.11
MGC17839	1.89	0.11
PRPF31	1.11	0.11
SH3KBP1	1.2	0.11
SARS2	1.34	0.11
DOCK9	1.42	0.11
EFS	1.02	0.11
PSCD2	1.05	0.11
MTA3	1.16	0.11
EDG3	1.83	0.11
PSMA3	1.53	0.11
NGFRAP1	1.39	0.11
FEN1	1.23	0.11
CCNDBP1	1.25	0.11
PMVK	1.53	0.11
TOP2A	1.28	0.11
WDR45	1.1	0.11
BANF1	1.11	0.11
KIAA0913	1.2	0.11
FLJ31413	1.19	0.11
SMARCD1	1.31	0.11
RAD50	1.61	0.11
MYCN	1.11	0.11
PCCA	1.22	0.11
TUBA6	1.06	0.11
SF3A1	1.21	0.11
TEAD3	1.19	0.11
PTDSS2	1.33	0.11
KIAA0196	1.59	0.11
KIAA0256	1.39	0.11
YRDC	1.36	0.11
TM9SF1	1.15	0.11
TMEM55B	1.26	0.11
MGC22793	1.31	0.11
LSG1	1.27	0.11
ZNF460	1.73	0.11
BRP44	1.55	0.11
RPS21	1.45	0.11
TM9SF4	1.12	0.11
PJCG6	1.31	0.11
STRA6	1.09	0.11
LOC723972	1.35	0.11
TAF10	1.44	0.11
CD46	1.35	0.11
INT1	1.41	0.11
ABCC10	1.52	0.11
CCL2	1.46	0.11
TBK1	1.53	0.11
SLCO2B1	1	0.11
UBE2E3	1.26	0.11
LOH12CR1	1.37	0.11
BCL7C	1.4	0.11
C17ORF37	1.54	0.11
UBL7	1.39	0.11
SLC25A1	1.56	0.11
MOAP1	1.67	0.11
FAM26B	1.01	0.11
FLJ90709	1.39	0.11
PTDSS1	1.22	0.11
PTPN6	1.37	0.11
FYB	1.98	0.11
DAPK3	1.3	0.11
EIF2B2	1.05	0.11
ZBTB10	1.1	0.11
EXOSC4	1.2	0.11
ZFAND3	1.47	0.11
C1ORF102	1.37	0.11
TUFM	1.29	0.11
C20ORF108	1.8	0.11
PUSL1	1.53	0.11
SERPINB2	0.98	0.11
DEPDC1B	1.06	0.11
AP1M2	1.81	0.11
PTOV1	1.2	0.11
CLDN23	1.43	0.11
TFPT	1.24	0.11
TMEM88	0.99	0.11
HTRA1	0.77	0.11
CYC1	1.3	0.11
PSMD2	1.31	0.11
CLDN9	0.83	0.11
MFAP2	1.09	0.11
NRP1	1.47	0.11
C17ORF59	1.33	0.11
MRGPRF	1.46	0.11
CANT1	1.33	0.11
LCMT2	1.23	0.11
KCTD13	1.68	0.11
ZNF444	1.22	0.11
CMTM8	1.32	0.11
PPAP2C	3.46	0.11
C10ORF32	1.5	0.11
C17ORF49	1.2	0.11
MAF1	1.41	0.11
MICAL-L1	1.52	0.11
ETV5	1.04	0.11
SPPL2A	1.35	0.11
TBC1D2B	1.42	0.11
CRLF3	1.2	0.11
C10ORF77	1.37	0.11
BLES03	1.44	0.11
LOC643995	1.3	0.11
LOC342897	0.92	0.11
WAS	1.2	0.11
POLR2J	2.06	0.11
ESAM	0.97	0.11
GCS1	1.22	0.11
AURKB	1.03	0.11
FLJ37440	1.33	0.11
CNTNAP2	2.65	0.11
MGC10433	1.3	0.11
C19ORF22	1.37	0.11
C20ORF54	1.71	0.11
PNPLA2	1.37	0.11
SPON1	1.57	0.11
C1ORF135	1.29	0.11
CYBASC3	1.26	0.11
CTSD	1.32	0.11
BPY2IP1	1.16	0.11
MCM5	1.34	0.11
DHCR24	1.55	0.11
PTPN23	1.34	0.11
AQP12A	1.19	0.11
C15ORF23	1.37	0.11
CITED4	1.64	0.11
TMEM132A	1.47	0.11
COX4I2	1.36	0.11
ALKBH7	1.61	0.11
APS	1.19	0.11
C5ORF16	1.2	0.11
GPR126	0.94	0.11
SLC27A2	1.59	0.11
KLHL26	1.14	0.11
CKMT1B	1.5	0.11
SLC45A4	1.15	0.11
NRGN	1.22	0.11
ERV3	0.9	0.11
FZD7	0.77	0.12
SYNGR1	0.81	0.12
KBTBD7	2.16	0.12
PSG3	0.82	0.12
CDC42EP4	0.96	0.12
UBR1	0.92	0.12
GOSR2	1.16	0.12
C20ORF172	1.84	0.12
FLYWCH1	1.07	0.12
CLTC	1.56	0.12
SMYD2	1.85	0.12
RAB5B	1.01	0.12
ANKRD13	1.16	0.12
MTMR4	0.91	0.12
HTATIP2	1.05	0.12
TP53BP1	1.19	0.12
C14ORF120	1.48	0.12
TOP2B	1.67	0.12
SCYL3	1.6	0.12
PITPNM2	1	0.12
SPINT2	0.97	0.12
KIAA1727	0.91	0.12
PQBP1	1.09	0.12
PPP1R15B	1.3	0.12
WBP2	1.06	0.12
SPATA2	1.12	0.12
TIMM44	1.13	0.12
SLC29A2	1.6	0.12
ATP1A1	1.03	0.12
XBP1	1.01	0.12
MUS81	1.46	0.12
BRD8	1.32	0.12
PGD	1.53	0.12
FOXRED1	1.55	0.12
FLJ20643	1.18	0.12
WIBG	1.3	0.12
UQCR	1.15	0.12
ELMO2	1.11	0.12
TMED9	1.27	0.12
ENPP2	1.86	0.12
GTF3C5	1.33	0.12
TMEM164	1.17	0.12
ACADVL	1.1	0.12
NUP160	1.21	0.12
DIDO1	1.37	0.12
DNAJC14	1.09	0.12
C18ORF8	1.46	0.12
TRIM41	1.41	0.12
PEX11B	1.28	0.12
GNG5	1.47	0.12
SLC35B1	1.18	0.12
FAM89B	1.18	0.12
DDX23	1.1	0.12
FLJ20489	1.17	0.12
PSEN2	1.52	0.12
DNCL2A	1.09	0.12
HEAB	1.19	0.12
NDUFV1	1.39	0.12
TRIM37	1.43	0.12
M160	1.3	0.12
RHOBTB3	1.43	0.12
PSMD1	1.21	0.12
FLJ20323	1.58	0.12
TJP2	1.1	0.12
LAMA2	1.42	0.12
METTL3	1.18	0.12
ELOVL1	1.18	0.12
AAAS	1.61	0.12
GBF1	1.3	0.12
LDLRAP1	1.22	0.12
OGFR	1.24	0.12
LY96	1.62	0.12
NOLC1	1.21	0.12
H2BFS	1.24	0.12
DMWD	1.55	0.12
BCAR1	1.24	0.12
DIRC2	1.11	0.12
MIR16	1.41	0.12
ILF2	1.22	0.12
PCCB	1.11	0.12
SYNE2	1.28	0.12
ATP5S	1.77	0.12
FARSLA	1.33	0.12
EPC1	1.21	0.12
RABGGTA	1.13	0.12
EXTL2	2	0.12
DDX28	1.37	0.12
