Gene	Ackerman2015.log2FC	Ackerman2015.padj
C19orf18	-0.756836414	0.393082107
ACRV1	-0.75251985	NA
LRRTM2	-0.750897224	0.231951877
HAS2	-0.748053403	0.343008421
KRTAP26-1	-0.747960118	0.365325552
SERTAD4	-0.746963281	0.013899529
ATP6AP1L	-0.745006919	0.255386498
OR10W1	-0.744750657	NA
CCND1	-0.744086893	0.074015751
SDR42E1	-0.741903689	NA
ZNF485	-0.739699562	0.117683618
ASB9	-0.738293179	0.375101421
STAG3	-0.737906258	0.517876361
PSMA8	-0.735489369	NA
FAM178B	-0.735267215	NA
C20orf202	-0.734705024	0.419177412
LRRC4B	-0.734324176	0.107214289
GDA	-0.733321616	0.31358632
ADAMDEC1	-0.731485915	0.510925419
TM4SF5	-0.729867677	0.629493597
CLGN	-0.729759725	NA
ZNF404	-0.729747626	0.168737932
UGT1A9	-0.722973324	NA
RBP5	-0.721170276	NA
ROM1	-0.719998239	0.48420657
ELF5	-0.719764677	0.440599079
DNAH2	-0.717856162	0.129010204
MYH13	-0.717015456	0.577935018
NEB	-0.716920056	0.070307929
HOXB13	-0.716454704	NA
HLA-DQB1	-0.716178356	0.610419475
STOML3	-0.714938126	NA
BEST4	-0.714884173	0.284880057
CATSPERB	-0.713932203	0.117683618
RNF39	-0.713386598	0.563213371
FAM162B	-0.711514286	0.075534601
TARP	-0.71111053	NA
MLPH	-0.708589186	0.239357598
PAQR6	-0.707526956	0.295333601
EVPL	-0.706998882	0.407319262
FAM65B	-0.705979543	0.086888079
MYZAP	-0.705333877	0.192283606
PRAME	-0.704025774	NA
PAGE2	-0.70318669	NA
DUXA	-0.702037577	0.472058463
ATP6V1G2	-0.701988334	NA
DCLK3	-0.701639779	0.48578702
SCN10A	-0.700455954	NA
CCDC129	-0.699130884	0.655480252
TTC30B	-0.697979602	0.443270559
CNKSR2	-0.696106053	0.633453182
SLC4A1	-0.694296634	0.269794019
SAMD12	-0.693876575	0.597024187
DDIT4L	-0.693275285	0.429022226
CADPS	-0.693086774	NA
C2CD4C	-0.692873154	0.650607017
ZCCHC18	-0.691949705	NA
BDKRB2	-0.691701476	0.324439674
C3orf27	-0.689504966	0.457963067
SELP	-0.689423808	0.069163003
PTPRQ	-0.688959083	0.204107896
ASXL3	-0.688887402	0.501446942
NDRG4	-0.688212052	0.439660135
PTGIR	-0.684053972	0.544169894
ZNF385C	-0.68363062	NA
LINGO1	-0.683388555	0.597159225
FAM26D	-0.682318863	0.48420657
FAM26E	-0.682148096	0.118103573
FSTL4	-0.681158448	NA
BEX1	-0.680446445	0.622831857
SAMD5	-0.68041818	0.086888079
C22orf15	-0.6804113	NA
ANO5	-0.680319943	0.668800182
UBXN10	-0.679813061	0.496686191
KCNA3	-0.67910272	0.456250669
CEACAM1	-0.678423558	0.005830893
HPSE	-0.677631217	0.263652429
THEM6	-0.677248793	0.017593736
ANK1	-0.676718331	0.132135804
EFHB	-0.675066698	0.501446942
GRID2IP	-0.673930756	NA
ACSM5	-0.673822245	0.474729204
TMPRSS3	-0.672972381	0.672130092
RHEBL1	-0.672575904	NA
CLCNKA	-0.672525482	0.631335693
OR10Q1	-0.671374654	NA
TNFSF15	-0.669529401	0.000357665
PXDNL	-0.669419442	0.569808148
NLGN4X	-0.668561144	0.691212415
GPR137C	-0.668419711	0.555633386
KCNQ4	-0.66817652	0.33701127
GLIPR2	-0.668121803	0.475184071
OLFM4	-0.667540248	NA
EMID1	-0.665127339	0.401231914
C15orf26	-0.664990364	0.577533828
FAM227B	-0.664327761	0.622831857
DNAH7	-0.662424507	0.473109953
SPTA1	-0.660112067	0.259800695
CACNA1S	-0.659738674	NA
GABRG3	-0.659674946	NA
LRRC61	-0.659042378	0.239357598
ARMCX3	-0.658690782	0.286702495
EPHA2	-0.658610492	0.000199413
TSPAN8	-0.65848835	0.595495703
HTR1F	-0.657495993	0.509867554
MYO5C	-0.656408615	0.01225761
KIF21B	-0.655610031	0.296200057
ARMCX2	-0.655000896	0.001239677
EIF5AL1	-0.653340265	0.677073083
LDHD	-0.653225208	0.414354819
LY9	-0.652817629	NA
ADAMTSL2	-0.65229735	0.064632725
LRIT3	-0.651394208	NA
LEMD1	-0.650616322	0.69918405
GPR64	-0.650305083	0.670159927
TRIM10	-0.648436427	NA
BDKRB1	-0.647882245	NA
USP6	-0.647354383	0.342909491
C9orf153	-0.647045415	0.463210509
SH3BGR	-0.646667723	NA
NLRP10	-0.646016467	0.641674058
C8G	-0.645019749	0.669217394
TXK	-0.644929128	0.235774684
RYR3	-0.643444538	NA
ECSCR	-0.643262171	0.159023404
CTRC	-0.642858599	NA
IL1A	-0.642299237	NA
RPL22L1	-0.641972233	0.069163003
RAPGEF4	-0.640980746	0.289611043
GFPT2	-0.640356854	0.136369397
HHLA2	-0.639676588	0.480900834
CTAGE9	-0.638492252	NA
ACTA1	-0.636142837	NA
GNA14	-0.635285763	0.342909491
GPR19	-0.633903801	NA
PPP1R36	-0.631842858	0.526500429
CLIP4	-0.629846052	0.052187343
HLA-DQA1	-0.627634991	0.574130803
ENHO	-0.627581496	NA
TMEM217	-0.627557455	NA
RIMS1	-0.626906292	NA
APITD1	-0.626780039	NA
HRC	-0.625234804	0.679869014
DOC2B	-0.624815596	0.493209585
IGDCC3	-0.624769343	0.017138353
EPHX2	-0.624326326	0.232554711
SPACA4	-0.62410418	NA
CLEC12A	-0.623391385	0.569225793
AMH	-0.623077549	0.717136354
NPAS3	-0.622833256	0.644862022
SALL1	-0.621808369	0.191745128
HDC	-0.62176678	NA
BAI1	-0.621486037	0.555361773
RHAG	-0.620364381	NA
ZAP70	-0.620113056	0.685630804
OR2T2	-0.619579937	NA
CEACAM6	-0.619054636	NA
GPR50	-0.618380001	NA
APLNR	-0.618307307	0.024097361
KIAA1024	-0.617773187	0.362211111
PER3	-0.616569443	0.333938822
SERPINA6	-0.615976714	NA
LCP1	-0.615946633	0.106507249
DCT	-0.615451601	NA
PFN2	-0.615441256	0.266800545
OSR2	-0.615231545	0.267106584
HLA-DPA1	-0.614888368	0.617245441
NUP62CL	-0.613724663	NA
ZC4H2	-0.613705621	0.674076803
MSH4	-0.613467295	0.512125377
GOLGA7B	-0.613073202	NA
FRZB	-0.612951728	0.644654419
APOL1	-0.612225032	0.044334032
ODF3B	-0.611981307	0.393139175
NUDT12	-0.61133382	0.324439674
CXorf65	-0.610528277	NA
ANKRD65	-0.610040742	0.096808794
KIRREL3	-0.609946812	NA
LRRC36	-0.608475316	0.050711078
GAGE1	-0.608120826	NA
DNAI2	-0.607579686	NA
FBXL21	-0.607159538	NA
CCDC3	-0.606922363	0.32318826
SYNPR	-0.605936232	0.674700542
NRARP	-0.605342927	0.171712387
SLC16A2	-0.603309963	0.121205783
ASPA	-0.603084425	0.612205572
KLK7	-0.603026473	0.60805154
STK31	-0.602577125	0.60933197
C1orf54	-0.601286892	0.136369397
RTP4	-0.601093917	0.612133134
HEATR4	-0.601047265	0.633453182
TTBK1	-0.60079267	NA
FZD1	-0.600461	0.009474259
CHI3L1	-0.599710846	0.672851828
EPHA3	-0.599668774	0.035462099
MLIP	-0.599432145	NA
OR2F2	-0.59604913	NA
ARHGAP8	-0.594683831	NA
HES6	-0.594366592	NA
CCZ1	-0.594298395	0.691418015
TRIML1	-0.59388295	NA
PLA2G2F	-0.593783222	0.747589379
ZNF682	-0.59366512	0.117713551
SNCG	-0.593406693	0.295333601
WNK4	-0.592792365	NA
RSPO3	-0.592777268	0.324327062
ETV7	-0.592696058	0.479181818
FCRL3	-0.592505492	NA
CCNI2	-0.591067769	NA
CNIH3	-0.590886594	NA
AOX1	-0.590687414	0.741842074
C11orf44	-0.588720208	0.429022226
CD19	-0.58841242	NA
APLN	-0.587682989	0.467999407
CP	-0.587291665	0.741842074
BOLL	-0.586735986	0.690477205
MMP9	-0.585798016	0.698127914
NUP210L	-0.585749606	0.752414936
IFT27	-0.585288195	0.291245571
TMEM26	-0.585145071	0.529913142
RAPGEF5	-0.585109976	0.005978986
GGTLC2	-0.584158515	NA
HMCN1	-0.583960195	0.265950284
MUC15	-0.583646484	0.48961503
TSKS	-0.583578304	0.17696304
HDX	-0.583472266	0.752896915
AVPR2	-0.582749772	NA
KRTAP25-1	-0.582658536	NA
AJAP1	-0.582619755	NA
CLDN16	-0.582200386	0.585256573
TEX22	-0.582168821	0.65281104
ARMCX6	-0.580503621	0.403832105
KCNG2	-0.580294714	NA
PZP	-0.579868647	NA
CENPK	-0.578788792	0.55178521
CAV1	-0.578735623	0.070307929
MEX3B	-0.577713207	0.562602396
FBXO24	-0.577548195	0.745873257
KCNK17	-0.577028391	0.752896915
FGF18	-0.576385653	NA
VLDLR	-0.575229846	0.443646188
LDB2	-0.574766073	0.020207022
C10orf131	-0.57450415	0.635807822
CD5	-0.573730328	NA
SMPD3	-0.573513503	NA
GUCY1A2	-0.573315702	0.121205783
TNFRSF6B	-0.573243482	NA
SLCO6A1	-0.572038983	0.652906129
FUT7	-0.570263207	NA
PLVAP	-0.569885801	0.03785866
LRRC70	-0.569666181	0.150289293
ADAMTS3	-0.568712421	0.079666892
CCDC64	-0.568600404	0.520703479
TDRD9	-0.568331045	0.698127914
PHACTR3	-0.56830106	NA
OCIAD2	-0.56816886	0.407319262
PGM5	-0.568135626	0.697730068
DDX60	-0.568130406	0.205255191
MYOC	-0.56693801	NA
PRRT2	-0.566872626	0.449037812
POU4F3	-0.5664234	NA
ELTD1	-0.566060655	0.065058003
RAG1	-0.565745095	0.67520699
SLFN12L	-0.56557029	NA
TNC	-0.564182672	0.642719403
PURG	-0.564179376	NA
ACTR3C	-0.562723311	0.191745128
SLIT1	-0.562668184	NA
IRS4	-0.56260123	NA
TMC4	-0.562470018	0.776268151
ZNF30	-0.561551922	0.521281804
CYSLTR2	-0.56125967	0.643198083
MOGAT3	-0.560970867	NA
HS3ST3A1	-0.560175004	0.296640999
ARAP2	-0.560139936	0.239357598
IL32	-0.559569083	0.293143482
ARTN	-0.559060007	0.709156766
POU1F1	-0.558982995	NA
LY6G6C	-0.558929855	0.472058463
NMU	-0.558716491	NA
NRIP2	-0.558696172	0.467357138
AP3B2	-0.558592229	0.742789504
SLC44A4	-0.557967861	0.183193885
CRP	-0.557526329	NA
SHE	-0.557145438	0.000748306
BTNL3	-0.55568076	NA
S100A16	-0.555610304	0.011284683
NXPE2	-0.555545214	NA
ZNF684	-0.555293338	0.452206109
LPAR6	-0.554493253	0.106792476
FAM203A	-0.554454656	NA
TENM1	-0.554221317	NA
BMP6	-0.554203428	0.064632725
NCAM1	-0.553181349	0.781780515
OR10A3	-0.552686646	NA
SNPH	-0.551871837	0.598679114
DCLK1	-0.551549361	NA
STC1	-0.551546366	0.63824033
TMEM40	-0.551534163	0.306330089
TMEM136	-0.551313908	0.046251392
CHST13	-0.550749907	NA
LRRC69	-0.550467587	0.508495095
KCNK4	-0.55011468	NA
PPM1E	-0.549991854	NA
PLSCR4	-0.549679915	0.005691762
BTBD19	-0.549509615	0.024449346
MAGEA4	-0.549390482	0.717712385
C1orf168	-0.549318279	NA
EDNRA	-0.549304817	0.643198083
RAB39A	-0.54859624	0.716794961
FCGR2B	-0.548573491	0.073374229
IL27	-0.548271907	0.778954662
TMEM178B	-0.548077803	NA
SLC4A11	-0.548041596	NA
DOK4	-0.547465275	0.159023404
SPATA31E1	-0.547317866	NA
SEZ6	-0.547053471	NA
FGF1	-0.546565076	0.509079527
CA10	-0.546562598	0.749680218
TPRG1	-0.546016744	0.577935018
B4GALT6	-0.545665158	0.170574268
SLC22A9	-0.545660503	0.721743575
PIK3R3	-0.545181692	0.07184441
MAP1LC3B2	-0.54512616	0.707566883
POU2F3	-0.544699055	0.173038855
RIPK2	-0.543911262	0.009294457
TCEAL7	-0.543541534	0.741842074
C15orf54	-0.543352404	NA
WSCD2	-0.543060626	NA
NDNF	-0.542976655	0.305000898
HSH2D	-0.542727299	0.324439674
RPS6KA6	-0.542690962	0.440599079
XIRP2	-0.542499033	NA
MXRA5	-0.541724745	0.696596126
PLXDC1	-0.54169001	0.229403786
LEPROTL1	-0.541685868	0.00620369
TMEM247	-0.541522857	0.577935018
C6orf132	-0.540508123	0.439660135
MYBPC3	-0.537729538	0.718092166
GTF2H2	-0.535873231	0.473109953
RFX2	-0.533652973	0.698127914
NPY1R	-0.533610092	0.621744897
SGIP1	-0.532917976	0.684138196
FAM124B	-0.532886055	0.183328009
PRDM5	-0.532248101	0.501446942
DKK3	-0.532181883	0.192835478
ELOVL4	-0.532054464	0.669217394
KCNK7	-0.531903015	NA
SGK223	-0.531699181	0.00885778
C9orf163	-0.53093462	NA
DPYSL3	-0.530618837	0.436452877
DPEP3	-0.530106945	NA
BTC	-0.530068785	NA
GNG11	-0.52944441	0.359868314
TMEM74B	-0.528666628	NA
DAPK1	-0.528480438	0.043246055
C2orf54	-0.528349279	0.663412269
INSL3	-0.528279607	NA
CD247	-0.52782025	0.783695437
LYZ	-0.527108639	0.184135612
PHACTR1	-0.526665625	0.692267491
ADAMTS19	-0.526648427	0.48578702
TCF21	-0.526404954	0.571272187
FAM213A	-0.5244579	0.154676323
C11orf21	-0.523883188	NA
MAGEH1	-0.522696617	0.449574375
CEMP1	-0.522012309	0.624925349
C11orf82	-0.521901809	0.725259119
LHFPL1	-0.521782979	NA
TTYH1	-0.521444216	0.771345575
SLC16A14	-0.520863234	0.642719403
EPHB1	-0.518270034	NA
ACAN	-0.518196678	0.791519283
PIWIL2	-0.517015572	0.334354987
CRH	-0.516224213	0.807934173
LRP1B	-0.516079185	NA
CADM1	-0.516073213	0.377853046
PACSIN1	-0.5159618	NA
SYCE1	-0.51498984	0.741842074
PCDP1	-0.514903843	NA
SPATA7	-0.514472714	0.439660135
FCRLB	-0.514305804	NA
PLEKHG4B	-0.513828115	0.529574173
BCL11B	-0.513741479	NA
NAT8L	-0.51318979	NA
FAM167B	-0.513185042	0.726564836
ELOVL3	-0.512662323	NA
LIF	-0.511667745	0.786852379
GLB1L	-0.511427745	0.33628504
PATL2	-0.511099342	NA
UNC79	-0.510474257	0.730180066
MMP7	-0.51030702	NA
HAPLN1	-0.509986686	0.805413451
KCNH6	-0.509955752	0.597159225
MFSD6L	-0.50995195	0.784554201
SCCPDH	-0.509786775	0.61520875
G6PC2	-0.509442598	NA
KLRB1	-0.509351272	NA
CCDC126	-0.509296124	0.300718966
MURC	-0.509073471	0.48420657
TXLNB	-0.508992165	0.743367731
C10orf67	-0.508172999	NA
RNF152	-0.508162821	0.365325552
CAV2	-0.507494035	0.073883369
FCER1A	-0.506503142	NA
NOX1	-0.50570672	NA
C8orf48	-0.505500124	NA
ZNF563	-0.50529661	0.642719403
EGR2	-0.504803977	0.783928965
LEKR1	-0.504292493	NA
C1QTNF9	-0.503931297	0.807830967
KLHL41	-0.503465983	NA
CARD16	-0.503159056	0.442518243
NR3C2	-0.502998335	0.474245589
RFX6	-0.502845632	0.717712385
CHN1	-0.502041171	0.297783896
TNMD	-0.501531914	0.771345575
MAP2K6	-0.501523888	0.610419475
PILRA	-0.501189497	0.701411316
DCDC2	-0.500680713	0.653323959
SLC22A13	-0.499301186	0.810452599
PLCB1	-0.499211314	0.068862413
ABCC3	-0.499176639	0.555361773
AQPEP	-0.498631588	0.80065039
HDHD3	-0.497633544	0.150691627
PKD1L2	-0.497596212	0.767343716
MCCC1	-0.496162067	NA
ZNF215	-0.496116567	0.821278844
MYO16	-0.496102405	0.783928965
ESCO2	-0.49609604	0.697730068
XRCC3	-0.496066963	0.267106584
MINPP1	-0.495994168	0.214036406
SMPDL3B	-0.495137005	0.794884014
CCND2	-0.494829901	0.572829247
CTAGE1	-0.494457454	NA
SPTBN2	-0.494325246	0.727889897
C4BPA	-0.493967317	NA
UPK2	-0.493920498	NA
LRFN5	-0.493264438	0.79817362
TSPAN2	-0.49318921	0.752896915
C5orf58	-0.492720507	NA
LRRC17	-0.492487992	NA
AKR1C2	-0.492456843	0.781780515
CD93	-0.492431939	0.004476506
LYG1	-0.491763291	NA
42065	-0.491679748	0.742149554
CYP4F3	-0.491624115	0.75455851
ADRA2A	-0.490450493	0.708526952
PCED1B	-0.490289704	0.686439418
OSBP2	-0.490148136	0.660451479
TBC1D10C	-0.489997837	0.81550074
ACE	-0.489775923	0.48961503
SIGLEC14	-0.489660091	NA
DPY19L2	-0.489424234	0.62386679
MAEL	-0.488976478	0.440215019
CALCRL	-0.488958568	0.508727996
SHD	-0.488067781	NA
WDR65	-0.487995674	0.778954662
PPAP2C	-0.487819273	0.827790035
FGF2	-0.487697184	0.493313234
PLA2G4F	-0.487521767	0.797865677
MYO3A	-0.486996674	NA
GALNT13	-0.486733151	NA
C10orf105	-0.486582983	NA
ARHGEF35	-0.486560876	0.517052862
CLEC4M	-0.486326792	0.804763408
TCF4	-0.485543567	0.01225761
FAM13C	-0.484275263	0.738280237
S1PR4	-0.483707753	0.754402551
LILRA5	-0.483288218	0.355744546
KIT	-0.48315337	0.477658066
KIAA1211	-0.482990781	0.669217394
PRSS35	-0.48243329	0.834085175
LGALSL	-0.481984375	0.073883369
MALL	-0.48179504	0.306231766
WDYHV1	-0.481271479	0.461757626
WNT9B	-0.480964832	NA
HLA-DPB1	-0.480440388	0.721873792
AMN1	-0.48036772	0.282532843
TIMM8A	-0.480356224	0.46449341
LGI2	-0.480317696	0.470059433
CD48	-0.480279914	0.776268151
KCNS3	-0.480106013	0.295333601
OR5P2	-0.480007931	0.805550854
RND2	-0.479394695	0.525078671
AFAP1L2	-0.479072307	0.117683618
CEACAM19	-0.478789002	0.672224148
DGKD	-0.47841491	0.060189198
UNC5B	-0.478330963	0.520703479
CLIP2	-0.477858752	0.432917206
TUBE1	-0.477482625	0.19768613
CATSPERD	-0.477457475	NA
VWDE	-0.477433124	0.741842074
TMEM191B	-0.477188328	NA
EFCAB6	-0.477143543	0.783877133
ECT2L	-0.476696533	0.804763408
BNC1	-0.476609736	0.640446448
PCDH18	-0.476489686	0.295333601
DOK7	-0.476378713	NA
ENPP4	-0.476252909	0.625762155
TACR3	-0.475730708	NA
KCNH4	-0.475395415	NA
MEOX1	-0.474745349	NA
CCNE2	-0.474659985	0.501446942
RGMA	-0.474331088	0.781979885
NPY5R	-0.474162427	0.776126414
ST18	-0.473896893	0.787318167
SLC38A3	-0.473744216	0.820798173
PECR	-0.473675523	0.657489684
CREM	-0.473431152	0.136369397
ARHGAP36	-0.473180924	NA
LILRA6	-0.472777355	0.824985963
RXRG	-0.472076581	NA
BIRC7	-0.472025107	0.817326438
ANKRD61	-0.472007163	NA
LRP6	-0.47166354	0.075534601
FAM71A	-0.471390963	0.826681764
CASP1	-0.471098898	0.204678942
HSD17B13	-0.470436949	0.513126801
CCDC178	-0.470304182	0.830257607
DIP2C	-0.470252407	0.188374638
ACADL	-0.4699232	0.781780515
EXOSC5	-0.468621169	0.592523599
HYAL3	-0.468590521	0.791145618
FAM149A	-0.468480662	0.472861071
ARMCX5-GPRASP2	-0.46840191	0.80923004
PSD2	-0.468240543	NA
PRG4	-0.468163751	NA
AMICA1	-0.467988903	0.574886798
LRRIQ3	-0.467749219	NA
PCDHGA6	-0.467655711	0.509079527
KLHL6	-0.467023971	0.0600654
FAM19A1	-0.466822455	NA
CYP4F12	-0.466669601	0.836441178
MEI1	-0.466667521	0.779557836
CASS4	-0.466425154	0.622831857
FAM86A	-0.466409841	0.621438439
C9orf129	-0.466071961	0.844460868
FAM229B	-0.466007884	0.509140401
CCDC13	-0.465451375	0.781623749
SPIN2A	-0.465441831	NA
SGCG	-0.465441831	NA
FAM180A	-0.465126099	NA
TC2N	-0.465117996	0.000542364
RRH	-0.464842296	NA
DACT3	-0.46466346	0.826681764
DYRK1B	-0.464462719	0.707663075
GFI1	-0.464294024	NA
WARS	-0.463770614	0.054481064
PPIP5K2	-0.463618772	0.005978986
GPR158	-0.463471244	0.520703479
MANEA	-0.463353146	0.289611043
SOHLH2	-0.462998298	NA
FGD6	-0.46294343	0.174340638
ENDOU	-0.462543871	0.572373375
MMRN2	-0.462411713	0.05099765
ITIH4	-0.461969138	0.697730068
LIMD2	-0.461864639	0.295184643
EDN3	-0.461649142	NA
RLN2	-0.461425055	NA
ZNF90	-0.461329903	0.443270559
C16orf93	-0.460847572	0.810452599
MRM1	-0.460779696	0.485611503
TIAM2	-0.460064538	0.732359237
LTBP2	-0.459336675	0.299090614
KIAA0895	-0.459193758	0.567638226
RNASE7	-0.459145509	NA
THSD7B	-0.458811209	0.847106622
DAPP1	-0.458806404	0.514321442
C9orf116	-0.458704983	NA
NIPA1	-0.45861209	0.517876361
TDRD1	-0.458530271	0.810452599
MAK	-0.458500613	0.684138196
STS	-0.458459014	0.607310079
GJC3	-0.45837925	NA
NRG4	-0.457368616	NA
PDE5A	-0.457356281	0.204582962
LZTFL1	-0.457236927	0.474729204
DEPDC1	-0.456778963	0.567638226
CDH6	-0.456357624	0.836116742
GRIK2	-0.45633761	0.742194672
TNNC1	-0.456289675	0.783928965
CDCP1	-0.456207316	0.679797761
NUF2	-0.456107169	0.697068531
ANGPT1	-0.455618042	0.577533828
RGS6	-0.455314681	0.517052862
HPX	-0.454867282	NA
OSBPL3	-0.454771638	0.269794019
KLHL4	-0.454727505	NA
LTA	-0.454710357	NA
KBTBD3	-0.454333137	0.690004384
GOLGA6C	-0.454328791	0.736835466
TEX9	-0.454146976	0.781780515
KLHDC9	-0.454077299	0.747589379
RORA	-0.453786695	0.182441524
SOWAHC	-0.453773064	0.304157292
MAD2L1	-0.453499304	0.530179937
ST6GALNAC5	-0.453336022	NA
SIGLEC5	-0.453316105	NA
ZNF676	-0.45329247	NA
42248	-0.451958256	NA
PTPRZ1	-0.4517065	0.794884014
NUDT8	-0.451691459	0.741842074
ACOXL	-0.451623324	0.714139196
ARL4C	-0.451598003	0.159072805
CCDC122	-0.451377029	0.065710937
PDGFA	-0.451361693	0.502269122
IHH	-0.451334223	NA
TRO	-0.450780731	0.530233313
